row_label_raw,row_label_full,Ông Phạm Hồng Công,Trường Ban Kiểm soát,col_2,numeric__Trường Ban Kiểm soát,numeric__col_2
Bà Trần Thị Khánh Chi,Bà Trần Thị Khánh Chi,Bà Trần Thị Khánh Chi,Thành viên,(Từ ngày 27/04/2024),,
Bà Nguyễn Thanh Thủy,Bà Nguyễn Thanh Thủy,Bà Nguyễn Thanh Thủy,Thành viên,(Từ ngày 27/04/2024),,
Ông Thái Đình Long,Ông Thái Đình Long,Ông Thái Đình Long,Thành viên,(Đến ngày 27/04/2024),,
Bà Trương Thị Kim Thư,Bà Trương Thị Kim Thư,Bà Trương Thị Kim Thư,Thành viên,(Đến ngày 27/04/2024),,
