row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,12.098.605,13.680.207,12.638,27.639,505.690,521.832,-,-,12.616.933,14.229.678,12098605.0,13680207.0,12638.0,27639.0,505690.0,521832.0,,,12616933.0,14229678.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,11.784.427,13.362.956,-,-,27.686,21.328,-,-,11.812.113,13.384.284,11784427.0,13362956.0,,,27686.0,21328.0,,,11812113.0,13384284.0
2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,314.178,317.251,12.638,27.639,-,-,-,-,326.816,344.890,314178.0,317251.0,12638.0,27639.0,,,,,326816.0,344890.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,-,-,-,-,478.004,500.504,-,-,478.004,500.504,,,,,478004.0,500504.0,,,478004.0,500504.0
II. Chi phí,II. Chi phí,II. Chi phí,(8.521.405),(10.992.611),-,-,(434.565),(190.752),(2.249.272),(1.832.913),(11.205.242),(13.016.276),-8521405.0,-10992611.0,,,-434565.0,-190752.0,-2249272.0,-1832913.0,-11205242.0,-13016276.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(8.490.903),(10.995.013),-,-,-,-,-,-,(8.490.903),(10.995.013),-8490903.0,-10995013.0,,,,,,,-8490903.0,-10995013.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,-,-,-,-,-,-,(50.998),(46.447),(50.998),(46.447),,,,,,,-50998.0,-46447.0,-50998.0,-46447.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(30.502),2.402,-,-,(434.565),(190.752),(2.198.274),(1.786.466),(2.663.341),(1.974.816),-30502.0,2402.0,,,-434565.0,-190752.0,-2198274.0,-1786466.0,-2663341.0,-1974816.0
Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,3.577.200,2.687.596,12.638,27.639,71.125,331.080,(2.249.272),(1.832.913),1.411.691,1.213.402,3577200.0,2687596.0,12638.0,27639.0,71125.0,331080.0,-2249272.0,-1832913.0,1411691.0,1213402.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(151.413),(152.568),-,-,-,-,-,-,(151.413),(152.568),-151413.0,-152568.0,,,,,,,-151413.0,-152568.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,3.425.787,2.535.028,12.638,27.639,71.125,331.080,(2.249.272),(1.832.913),1.260.278,1.060.834,3425787.0,2535028.0,12638.0,27639.0,71125.0,331080.0,-2249272.0,-1832913.0,1260278.0,1060834.0
