row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",2.314.273.232,2.899.289.940,2314273232.0,2899289940.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,1.542.502.674.837,1.541.518.854.923,1542502674837.0,1541518854923.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Chi lương và phụ cấp,Trong đó: > - Chi lương và phụ cấp,- Chi lương và phụ cấp,1.374.497.186.720,1.359.153.653.289,1374497186720.0,1359153653289.0
- Các khoản chi đóng góp theo lương,Trong đó: > - Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,108.657.550.591,116.191.318.948,108657550591.0,116191318948.0
- Chi trợ cấp,Trong đó: > - Chi trợ cấp,- Chi trợ cấp,2.247.642.890,3.833.955.043,2247642890.0,3833955043.0
- Chi khác,Trong đó: > - Chi khác,- Chi khác,57.100.294.636,62.339.927.643,57100294636.0,62339927643.0
Chi về tài sản,Trong đó: > Chi về tài sản,Chi về tài sản,353.540.304.723,367.990.823.946,353540304723.0,367990823946.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Khấu hao và hao mòn tài sản cố định,Trong đó: > - Khấu hao và hao mòn tài sản cố định,- Khấu hao và hao mòn tài sản cố định,92.183.814.386,83.018.244.850,92183814386.0,83018244850.0
- Chi phí tài sản khác,Trong đó: > - Chi phí tài sản khác,- Chi phí tài sản khác,261.356.490.337,284.972.579.096,261356490337.0,284972579096.0
Chi cho hoạt động quản lý công vụ,Trong đó: > Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,358.443.540.134,463.005.217.539,358443540134.0,463005217539.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Trong đó: > Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",64.274.805.816,57.009.399.667,64274805816.0,57009399667.0
(Hoàn nhập)/chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng; chi phí dự phòng rủi ro chứng khoán),Trong đó: > (Hoàn nhập)/chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng; chi phí dự phòng rủi ro chứng khoán),(Hoàn nhập)/chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng; chi phí dự phòng rủi ro chứng khoán),(66.770.732),9.897.812.695,-66770732.0,9897812695.0
,,,2.321.008.828.010,2.442.321.398.710,2321008828010.0,2442321398710.0
