row_label_raw,row_label_full,col_0,Quá hạnVND,Khôngchịu lãiVND,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngVND,numeric__Quá hạnVND,numeric__Khôngchịu lãiVND,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngVND
,,,Quá hạnVND,Khôngchịu lãiVND,Đến 1 thángVND,Từ 1 - 3 thángVND,Từ 3 - 6 thángVND,Từ 6 - 12 thángVND,Từ 1 - 5 nămVND,Trên 5nămVND,Tổng cộngVND,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,932.451.084.828,-,-,-,-,-,-,932.451.084.828,,932451084828.0,,,,,,,932451084828.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,4.087.881.039.948,-,-,-,-,-,4.087.881.039.948,,,4087881039948.0,,,,,,4087881039948.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,9.118.150.032.454,6.996.327.478.769,269.704.703.535,-,-,-,16.384.182.214.758,,,9118150032454.0,6996327478769.0,269704703535.0,,,,16384182214758.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,-,-,929.409.500.000,-,-,929.409.500.000,,,,,,929409500000.0,,,929409500000.0
Các công cụ tài chínhphải sinh,Tài sản > Các công cụ tài chínhphải sinh,Các công cụ tài chínhphải sinh,-,65.588.137.740,-,-,-,-,-,-,65.588.137.740,,65588137740.0,,,,,,,65588137740.0
Cho vay khách hàng và mua nợ,Tài sản > Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,3.129.783.747.267,-,16.527.457.016.637,34.219.583.605.527,28.626.499.324.650,2.714.055.226.519,4.410.507.245.554,-,89.627.886.166.154,3129783747267.0,,16527457016637.0,34219583605527.0,28626499324650.0,2714055226519.0,4410507245554.0,,89627886166154.0
Chứng khoán đầu tư,Tài sản > Chứng khoán đầu tư,Chứng khoán đầu tư,-,2.136.224.827.787,110.000.000.000,260.000.000.000,2.153.000.000.000,5.090.000.000.000,7.129.966.600.000,16.728.000.000.000,33.607.191.427.787,,2136224827787.0,110000000000.0,260000000000.0,2153000000000.0,5090000000000.0,7129966600000.0,16728000000000.0,33607191427787.0
"Gộp vốn, đầu tư dài hạn","Tài sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,47.540.000.000,-,-,-,-,-,-,47.540.000.000,,47540000000.0,,,,,,,47540000000.0
Tái sản cố định,Tài sản > Tái sản cố định,Tái sản cố định,-,545.012.116.339,-,-,-,-,-,-,545.012.116.339,,545012116339.0,,,,,,,545012116339.0
Tái sản Có khác,Tài sản > Tái sản Có khác,Tái sản Có khác,4.800.000.000,7.422.826.578.961,-,-,-,-,-,-,7.427.626.578.961,4800000000.0,7422826578961.0,,,,,,,7427626578961.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,3.134.583.747.267,11.149.642.745.655,29.843.488.089.039,41.475.911.084.296,31.049.204.028.185,8.733.464.726.519,11.540.473.845.554,16.728.000.000.000,153.654.768.266.515,3134583747267.0,11149642745655.0,29843488089039.0,41475911084296.0,31049204028185.0,8733464726519.0,11540473845554.0,16728000000000.0,153654768266515.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,22.725.306.083,129.465.000.000,-,-,152.190.306.083,,,,,22725306083.0,129465000000.0,,,152190306083.0
Tiền gửi và vay từ TCTD khác,Nợ phải trả > Tiền gửi và vay từ TCTD khác,Tiền gửi và vay từ TCTD khác,-,-,14.750.261.860.559,6.773.397.931.137,709.826.812.397,399.209.773.963,204.049.695.000,974.642.669,22.837.720.715.725,,,14750261860559.0,6773397931137.0,709826812397.0,399209773963.0,204049695000.0,974642669.0,22837720715725.0
"Tiền gửi của khách hàngVốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Tiền gửi của khách hàngVốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Tiền gửi của khách hàngVốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,35.901.822.765.325,17.257.754.481.007,17.881.085.183.755,12.396.378.714.910,3.886.080.102.954,-,87.323.121.247.951,,,35901822765325.0,17257754481007.0,17881085183755.0,12396378714910.0,3886080102954.0,,87323121247951.0
Phát hành giấy tờ có giả,Nợ phải trả > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,231.250.000.000,232.243.018.750,255.923.906.250,930.085.928.125,3.225.530.381.382,60.387.478.355,4.935.420.712.862,,,231250000000.0,232243018750.0,255923906250.0,930085928125.0,3225530381382.0,60387478355.0,4935420712862.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.657.762.130.511,-,-,1.300.000.000.000,500.000.000.000,13.824.562.500.000,-,16.334.562.500.000,,3657762130511.0,,,1300000000000.0,500000000000.0,13824562500000.0,,16334562500000.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,3.657.762.130.511,51.593.334.625.884,24.263.395.430.894,20.169.561.208.485,14.355.139.416.998,21.140.222.679.336,61.362.121.024,135.240.777.613.132,,3657762130511.0,51593334625884.0,24263395430894.0,20169561208485.0,14355139416998.0,21140222679336.0,61362121024.0,135240777613132.0
Mức chênh nhay cảm với lãi suất,Nợ phải trả > Mức chênh nhay cảm với lãi suất,Mức chênh nhay cảm với lãi suất,3.134.583.747.267,7.491.880.615.144,(21.749.846.536.845),17.212.515.653.402,10.879.642.819.700,(5.621.674.690.479),(9.599.748.833.782),16.666.637.878.976,18.413.990.653.383,3134583747267.0,7491880615144.0,-21749846536845.0,17212515653402.0,10879642819700.0,-5621674690479.0,-9599748833782.0,16666637878976.0,18413990653383.0
