row_label_raw,row_label_full,col_0,Trong nước VND,Nước ngoài VND,Tổng cộng VND,numeric__Trong nước VND,numeric__Nước ngoài VND,numeric__Tổng cộng VND
Tài sản vào ngày 31 tháng 12 năm 2020,Tài sản vào ngày 31 tháng 12 năm 2020,Tài sản vào ngày 31 tháng 12 năm 2020,Tài sản vào ngày 31 tháng 12 năm 2020,Tài sản vào ngày 31 tháng 12 năm 2020,Tài sản vào ngày 31 tháng 12 năm 2020,,,
Tiền gửi tài và cho vay các TCTD khác,Tài sản vào ngày 31 tháng 12 năm 2020 > Tiền gửi tài và cho vay các TCTD khác,Tiền gửi tài và cho vay các TCTD khác,16.195.198.653.749,188.983.561.009,16.384.182.214.758,16195198653749.0,188983561009.0,16384182214758.0
Chứng khoán kinh doanh,Tài sản vào ngày 31 tháng 12 năm 2020 > Chứng khoán kinh doanh,Chứng khoán kinh doanh,929.409.500.000,-,929.409.500.000,929409500000.0,,929409500000.0
Các công cụ tài chínhphái sinh (tổng giá trị giao dịch theo hợp đồng),Tài sản vào ngày 31 tháng 12 năm 2020 > Các công cụ tài chínhphái sinh (tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chínhphái sinh (tổng giá trị giao dịch theo hợp đồng),28.886.909.617.252,-,28.886.909.617.252,28886909617252.0,,28886909617252.0
Cho vay khách hàng,Tài sản vào ngày 31 tháng 12 năm 2020 > Cho vay khách hàng,Cho vay khách hàng,89.237.886.166.154,-,89.237.886.166.154,89237886166154.0,,89237886166154.0
Hoạt động mua nợ,Tài sản vào ngày 31 tháng 12 năm 2020 > Hoạt động mua nợ,Hoạt động mua nợ,390.000.000.000,-,390.000.000.000,390000000000.0,,390000000000.0
Chứng khoán đầu tư,Tài sản vào ngày 31 tháng 12 năm 2020 > Chứng khoán đầu tư,Chứng khoán đầu tư,33.607.191.427.787,-,33.607.191.427.787,33607191427787.0,,33607191427787.0
"Gộp vốn, đầu tư dài hạn","Tài sản vào ngày 31 tháng 12 năm 2020 > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",47.540.000.000,-,47.540.000.000,47540000000.0,,47540000000.0
Công nợ vào ngày 31 tháng 12 năm 2020,Công nợ vào ngày 31 tháng 12 năm 2020,Công nợ vào ngày 31 tháng 12 năm 2020,Công nợ vào ngày 31 tháng 12 năm 2020,Công nợ vào ngày 31 tháng 12 năm 2020,Công nợ vào ngày 31 tháng 12 năm 2020,,,
Tiền gửi và vay các TCTD khác,Công nợ vào ngày 31 tháng 12 năm 2020 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,22.600.816.323.442,236.904.392.283,22.837.720.715.725,22600816323442.0,236904392283.0,22837720715725.0
Tiền gửi của khách hàng,Công nợ vào ngày 31 tháng 12 năm 2020 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,86.224.065.351.746,1.099.055.896.205,87.323.121.247.951,86224065351746.0,1099055896205.0,87323121247951.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ vào ngày 31 tháng 12 năm 2020 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",287.295.712.862,4.648.125.000.000,4.935.420.712.862,287295712862.0,4648125000000.0,4935420712862.0
Phát hành giấy tờ có giá,Công nợ vào ngày 31 tháng 12 năm 2020 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,16.334.562.500.000,-,16.334.562.500.000,16334562500000.0,,16334562500000.0
Cam kết tin dụng vào ngày 31 tháng 12 năm 2020,Công nợ vào ngày 31 tháng 12 năm 2020 > Cam kết tin dụng vào ngày 31 tháng 12 năm 2020,Cam kết tin dụng vào ngày 31 tháng 12 năm 2020,19.134.857.007.998,-,19.134.857.007.998,19134857007998.0,,19134857007998.0
