row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,920.888.968.723,617.734.799.412,920888968723.0,617734799412.0
Dịch vụ thanh toán,Dịch vụ thanh toán,Dịch vụ thanh toán,62.118.083.819,55.817.757.645,62118083819.0,55817757645.0
Dịch vụ ngân quỹ,Dịch vụ ngân quỹ,Dịch vụ ngân quỹ,2.874.652.803,3.220.065.075,2874652803.0,3220065075.0
Dịch vụ tư vấn,Dịch vụ tư vấn,Dịch vụ tư vấn,85.786.484.595,49.526.199.403,85786484595.0,49526199403.0
Dịch vụ đại lý bảo hiểm và phí liên kếtbảo hiểm,Dịch vụ đại lý bảo hiểm và phí liên kếtbảo hiểm,Dịch vụ đại lý bảo hiểm và phí liên kếtbảo hiểm,616.651.775.087,387.293.840.092,616651775087.0,387293840092.0
Dịch vụ bảo quản tài sản,Dịch vụ bảo quản tài sản,Dịch vụ bảo quản tài sản,1.796.581.530,42.147.067,1796581530.0,42147067.0
Dịch vụ khác,Dịch vụ khác,Dịch vụ khác,151.661.390.889,121.834.790.130,151661390889.0,121834790130.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(96.236.691.732),(79.608.088.785),-96236691732.0,-79608088785.0
Dịch vụ thanh toán,Dịch vụ thanh toán,Dịch vụ thanh toán,(10.961.736.511),(13.846.220.675),-10961736511.0,-13846220675.0
Dịch vụ ngân quỹ,Dịch vụ ngân quỹ,Dịch vụ ngân quỹ,(1.387.069.690),(1.011.477.566),-1387069690.0,-1011477566.0
Dịch vụ ủy thác và đại lý,Dịch vụ ủy thác và đại lý,Dịch vụ ủy thác và đại lý,(4.177.210.461),(1.099.848.519),-4177210461.0,-1099848519.0
Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,(2.245.248.941),(8.052.801.221),-2245248941.0,-8052801221.0
Dịch vụ tư vấn,Dịch vụ tư vấn,Dịch vụ tư vấn,(76.004.545),-,-76004545.0,
Chi phí bưu điện về mạng viễn thông,Chi phí bưu điện về mạng viễn thông,Chi phí bưu điện về mạng viễn thông,(964.864.553),(1.223.721.525),-964864553.0,-1223721525.0
Dịch vụ khác,Dịch vụ khác,Dịch vụ khác,(76.424.557.031),(54.374.019.279),-76424557031.0,-54374019279.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,824.652.276.991,538.126.710.627,824652276991.0,538126710627.0
