row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Chứng khoán đầu tư sản sàng để bán,Chứng khoán đầu tư sản sàng để bán,Chứng khoán đầu tư sản sàng để bán,33.607.191.427.787,22.934.127.428.730,33607191427787.0,22934127428730.0
Chứng khoán Nợ,Chứng khoán Nợ,Chứng khoán Nợ,,,,
Trái phiếu Chính phủ,Chứng khoán Nợ > Trái phiếu Chính phủ,Trái phiếu Chính phủ,24.438.185.983.398,14.907.201.876.123,24438185983398.0,14907201876123.0
Chứng khoán Nợ do các tổ chức tín dụng khác trong nước phát hành,Chứng khoán Nợ > Chứng khoán Nợ do các tổ chức tín dụng khác trong nước phát hành,Chứng khoán Nợ do các tổ chức tín dụng khác trong nước phát hành,8.494.190.520.404,6.500.008.456.155,8494190520404.0,6500008456155.0
Chứng khoán Nợ do các tổ chức kinh tế trong nước phát hành,Chứng khoán Nợ > Chứng khoán Nợ do các tổ chức kinh tế trong nước phát hành,Chứng khoán Nợ do các tổ chức kinh tế trong nước phát hành,609.260.114.838,1.461.362.287.305,609260114838.0,1461362287305.0
Chứng khoán Vốn,Chứng khoán Vốn,Chứng khoán Vốn,,,,
Chứng khoán Vốn do các tổ chức tín dụng khác trong nước phát hành,Chứng khoán Vốn > Chứng khoán Vốn do các tổ chức tín dụng khác trong nước phát hành,Chứng khoán Vốn do các tổ chức tín dụng khác trong nước phát hành,14.236.945.147,14.236.945.147,14236945147.0,14236945147.0
Chứng khoán Vốn do các tổ chức kinh tế trong nước phát hành,Chứng khoán Vốn > Chứng khoán Vốn do các tổ chức kinh tế trong nước phát hành,Chứng khoán Vốn do các tổ chức kinh tế trong nước phát hành,51.317.864.000,51.317.864.000,51317864000.0,51317864000.0
Dự phòng rủi ro chứng khoán đầu tư sản sàng để bán,Chứng khoán Vốn > Dự phòng rủi ro chứng khoán đầu tư sản sàng để bán,Dự phòng rủi ro chứng khoán đầu tư sản sàng để bán,(19.168.391.715),(60.413.695.398),-19168391715.0,-60413695398.0
Dự phòng giảm giá (i),Chứng khoán Vốn > Dự phòng giảm giá (i),Dự phòng giảm giá (i),(7.207.726.756),(48.177.554.027),-7207726756.0,-48177554027.0
Dự phòng chung (ii),Chứng khoán Vốn > Dự phòng chung (ii),Dự phòng chung (ii),(11.960.664.959),(12.236.141.371),-11960664959.0,-12236141371.0
,,,33.588.023.036.072,22.873.713.733.332,33588023036072.0,22873713733332.0
