row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Miền Nam VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Miền Bắc VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Miền Trung VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Loại trừ VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Tổng cộng VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Miền Nam VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Miền Bắc VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Miền Trung VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Loại trừ VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Tổng cộng VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,21.806.379.160.980,2.826.895.716.633,1.901.727.716.100,(12.100.932.371.428),14.434.070.222.285,21806379160980.0,2826895716633.0,1901727716100.0,-12100932371428.0,14434070222285.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,18.102.975.535.272,2.720.868.216.879,1.841.620.909.272,(11.872.067.927.539),10.793.396.733.884,18102975535272.0,2720868216879.0,1841620909272.0,-11872067927539.0,10793396733884.0
Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,7.722.495.071.067,1.716.985.845.990,1.353.915.816.827,-,10.793.396.733.884,7722495071067.0,1716985845990.0,1353915816827.0,,10793396733884.0
Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,10.380.480.464.205,1.003.882.370.889,487.705.092.445,(11.872.067.927.539),-,10380480464205.0,1003882370889.0,487705092445.0,-11872067927539.0,
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,875.799.048.176,27.625.258.267,17.464.662.280,-,920.888.968.723,875799048176.0,27625258267.0,17464662280.0,,920888968723.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,2.827.604.577.532,78.402.241.487,42.642.144.548,(228.864.443.889),2.719.784.519.678,2827604577532.0,78402241487.0,42642144548.0,-228864443889.0,2719784519678.0
II. Chi phí,II. Chi phí,II. Chi phí,(16.951.566.488.387),(2.307.397.105.677),(1.599.053.649.027),12.100.932.371.428,(8.757.084.871.663),-16951566488387.0,-2307397105677.0,-1599053649027.0,12100932371428.0,-8757084871663.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(14.223.765.680.563),(2.072.793.992.841),(1.387.247.509.594),11.872.067.927.539,(5.811.739.255.459),-14223765680563.0,-2072793992841.0,-1387247509594.0,11872067927539.0,-5811739255459.0
Chi phí lãi cho khách hàng bên ngoài,Chi phí lãi cho khách hàng bên ngoài,Chi phí lãi cho khách hàng bên ngoài,(4.580.125.261.483),(839.771.854.064),(391.842.139.912),-,(5.811.739.255.459),-4580125261483.0,-839771854064.0,-391842139912.0,,-5811739255459.0
Chi phí lãi nội bộ,Chi phí lãi nội bộ,Chi phí lãi nội bộ,(9.643.640.419.080),(1.233.022.138.777),(995.405.369.682),11.872.067.927.539,-,-9643640419080.0,-1233022138777.0,-995405369682.0,11872067927539.0,
2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(81.589.635.925),(5.241.971.867),(5.352.206.594),-,(92.183.814.386),-81589635925.0,-5241971867.0,-5352206594.0,,-92183814386.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(2.646.211.171.899),(229.361.140.969),(206.453.932.839),228.864.443.889,(2.853.161.801.818),-2646211171899.0,-229361140969.0,-206453932839.0,228864443889.0,-2853161801818.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,4.854.812.672.593,519.498.610.956,302.674.067.073,-,5.676.985.350.622,4854812672593.0,519498610956.0,302674067073.0,,5676985350622.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(1.121.907.801.651),(113.010.325.264),(28.521.167.313),-,(1.263.439.294.228),-1121907801651.0,-113010325264.0,-28521167313.0,,-1263439294228.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,3.732.904.870.942,406.488.285.692,274.152.899.760,-,4.413.546.056.394,3732904870942.0,406488285692.0,274152899760.0,,4413546056394.0
III. Tài sản,III. Tài sản,III. Tài sản,128.751.148.917.144,16.690.267.001.355,7.229.448.954.374,-,152.670.864.872.873,128751148917144.0,16690267001355.0,7229448954374.0,,152670864872873.0
1. Tiền mặt và vàng,1. Tiền mặt và vàng,1. Tiền mặt và vàng,652.301.141.117,205.044.531.786,75.105.411.925,-,932.451.084.828,652301141117.0,205044531786.0,75105411925.0,,932451084828.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,456.617.424.331,17.912.117.145,70.482.574.863,-,545.012.116.339,456617424331.0,17912117145.0,70482574863.0,,545012116339.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,127.642.230.351.696,16.467.310.352.424,7.083.860.967.586,-,151.193.401.671.706,127642230351696.0,16467310352424.0,7083860967586.0,,151193401671706.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,(112.001.702.842.856),(16.283.778.715.662),(6.955.296.054.614),-,(135.240.777.613.132),-112001702842856.0,-16283778715662.0,-6955296054614.0,,-135240777613132.0
1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,(111.882.894.699.774),(16.283.778.715.662),(6.955.296.054.614),-,(135.121.969.470.050),-111882894699774.0,-16283778715662.0,-6955296054614.0,,-135121969470050.0
2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,(79.655.895.325),-,-,-,(79.655.895.325),-79655895325.0,,,,-79655895325.0
3. Nợ phải trả khác,3. Nợ phải trả khác,3. Nợ phải trả khác,(39.152.247.757),-,-,-,(39.152.247.757),-39152247757.0,,,,-39152247757.0
