row_label_raw,row_label_full,col_0,Giá trị số sách > Số dư cuối năm VND,Giá trị số sách > Số dư đầu năm VND,numeric__Giá trị số sách > Số dư cuối năm VND,numeric__Giá trị số sách > Số dư đầu năm VND
Bất động sản,Bất động sản,Bất động sản,128.560.011.795.494,94.217.410.198.426,128560011795494.0,94217410198426.0
Động sản,Động sản,Động sản,18.314.209.243.194,12.802.896.099.471,18314209243194.0,12802896099471.0
Giấy tờ có giá,Giấy tờ có giá,Giấy tờ có giá,33.526.613.609.358,30.834.286.414.249,33526613609358.0,30834286414249.0
Tài sản khác,Tài sản khác,Tài sản khác,25.231.071.047.638,16.489.905.723.124,25231071047638.0,16489905723124.0
,,,205.631.905.695.684,154.344.498.435.270,205631905695684.0,154344498435270.0
