row_label_raw,row_label_full,col_0,Thuyết minh,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Thuyết minh,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,932.451.084.828,712.715.793.026,5.0,932451084828.0,712715793026.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,4.087.881.039.948,2.072.665.956.459,6.0,4087881039948.0,2072665956459.0
Tiền gửi và cho vay các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng (“TCTD”) khác,Tiền gửi và cho vay các tổ chức tín dụng (“TCTD”) khác,7,16.384.182.214.758,17.493.693.697.759,7.0,16384182214758.0,17493693697759.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,15.188.562.087.708,14.352.568.477.940,71.0,15188562087708.0,14352568477940.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,7.2,1.195.620.127.050,3.141.125.219.819,72.0,1195620127050.0,3141125219819.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,929.409.500.000,496.581.000.000,8.0,929409500000.0,496581000000.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,929.409.500.000,496.581.000.000,,929409500000.0,496581000000.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,65.588.137.740,70.802.974.907,9.0,65588137740.0,70802974907.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,88.300.510.917.677,70.366.005.219.323,,88300510917677.0,70366005219323.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,89.237.886.166.154,71.090.741.071.723,10.0,89237886166154.0,71090741071723.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(937.375.248.477),(724.735.852.400),11.0,-937375248477.0,-724735852400.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,387.075.000.000,-,12.0,387075000000.0,
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,390.000.000.000,-,,390000000000.0,
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(2.925.000.000),-,,-2925000000.0,
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,13,33.588.023.036.072,22.873.713.733.332,13.0,33588023036072.0,22873713733332.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,33.607.191.427.787,22.934.127.428.730,,33607191427787.0,22934127428730.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(19.168.391.715),(60.413.695.398),,-19168391715.0,-60413695398.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",14,27.905.246.550,29.838.475.818,14.0,27905246550.0,29838475818.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,,25.000.000.000,25.000.000.000,,25000000000.0,25000000000.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,22.540.000.000,24.540.000.000,,22540000000.0,24540000000.0
Dự phòng giảm giá đầu tư dài hạn,TÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(19.634.753.450),(19.701.524.182),,-19634753450.0,-19701524182.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,15,545.012.116.339,594.784.444.540,15.0,545012116339.0,594784444540.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15.1,272.377.860.252,316.367.768.679,151.0,272377860252.0,316367768679.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,647.867.062.875,645.486.497.178,,647867062875.0,645486497178.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(375.489.202.623),(329.118.728.499),,-375489202623.0,-329118728499.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15.2,272.634.256.087,278.416.675.861,152.0,272634256087.0,278416675861.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,447.530.335.527,417.525.816.476,,447530335527.0,417525816476.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(174.896.079.440),(139.109.140.615),,-174896079440.0,-139109140615.0
