row_label_raw,row_label_full,col_0,Giá trị theo hợp đồng – gộp VND,Tiền ký quỹ VND,Giá trị theo hợp đồng – thuần VND,numeric__Giá trị theo hợp đồng – gộp VND,numeric__Tiền ký quỹ VND,numeric__Giá trị theo hợp đồng – thuần VND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,38.563.259.000,262.284.552,38.300.974.448,38563259000.0,262284552.0,38300974448.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,56.035.266.847.629,-,56.035.266.847.629,56035266847629.0,,56035266847629.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,1.130.805.012.431,-,1.130.805.012.431,1130805012431.0,,1130805012431.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,1.129.385.070.000,-,1.129.385.070.000,1129385070000.0,,1129385070000.0
Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,53.775.076.765.198,-,53.775.076.765.198,53775076765198.0,,53775076765198.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,2.845.876.565.487,75.229.890.245,2.770.646.675.242,2845876565487.0,75229890245.0,2770646675242.0
Cam kết đã được ngân hàng tài trợ thanh toán,Cam kết đã được ngân hàng tài trợ thanh toán,Cam kết đã được ngân hàng tài trợ thanh toán,1.506.685.950.574,-,1.506.685.950.574,1506685950574.0,,1506685950574.0
Cam kết chưa thực hiện,Cam kết chưa thực hiện,Cam kết chưa thực hiện,1.339.190.614.913,75.229.890.245,1.263.960.724.668,1339190614913.0,75229890245.0,1263960724668.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,13.762.434.598.048,226.873.197.287,13.535.561.400.761,13762434598048.0,226873197287.0,13535561400761.0
Cam kết khác,Cam kết khác,Cam kết khác,2.487.982.585.463,-,2.487.982.585.463,2487982585463.0,,2487982585463.0
Tổng,Tổng,Tổng,75.170.123.855.627,302.365.372.084,74.867.758.483.543,75170123855627.0,302365372084.0,74867758483543.0
