row_label_raw,row_label_full,col_0,Vốn điều lệ VND,Thặng dư vốn cổ phần VND,Quỹ của TCTD VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn điều lệ VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ của TCTD VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,7.898.570.750.000,151.217.253.124,1.075.944.773.514,2.380.920.145.615,11.506.652.922.253,7898570750000.0,151217253124.0,1075944773514.0,2380920145615.0,11506652922253.0
Tăng vốn trong năm từ phát hành cổ phiếu riêng lẻ,Tăng vốn trong năm từ phát hành cổ phiếu riêng lẻ,Tăng vốn trong năm từ phát hành cổ phiếu riêng lẻ,868.680.000.000,1.551.744.044.224,-,-,2.420.424.044.224,868680000000.0,1551744044224.0,,,2420424044224.0
Tăng vốn từ chia cổ tức bằng cổ phiếu,Tăng vốn từ chia cổ tức bằng cổ phiếu,Tăng vốn từ chia cổ tức bằng cổ phiếu,2.191.812.680.000,-,-,(2.191.812.680.000),-,2191812680000.0,,,-2191812680000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,3.529.968.805.340,3.529.968.805.340,,,,3529968805340.0,3529968805340.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,529.495.320.801,(529.495.320.801),-,,,529495320801.0,-529495320801.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(26.958.512.076),(26.958.512.076),,,,-26958512076.0,-26958512076.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,10.959.063.430.000,1.702.961.297.348,1.605.440.094.315,3.162.622.438.078,17.430.087.259.741,10959063430000.0,1702961297348.0,1605440094315.0,3162622438078.0,17430087259741.0
