row_label_raw,row_label_full,col_0,Giá trị theo hợp đồng – gộp VND,Tiền ký quỹ VND,Giá trị theo hợp đồng – thuần VND,numeric__Giá trị theo hợp đồng – gộp VND,numeric__Tiền ký quỹ VND,numeric__Giá trị theo hợp đồng – thuần VND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,85.569.283.000,483.850.900,85.085.432.100,85569283000.0,483850900.0,85085432100.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,47.986.481.827.232,-,47.986.481.827.232,47986481827232.0,,47986481827232.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,1.185.122.030.475,-,1.185.122.030.475,1185122030475.0,,1185122030475.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,1.185.052.450.000,-,1.185.052.450.000,1185052450000.0,,1185052450000.0
Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,45.616.307.346.757,-,45.616.307.346.757,45616307346757.0,,45616307346757.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,1.890.488.554.649,23.055.440.025,1.867.433.114.624,1890488554649.0,23055440025.0,1867433114624.0
Cam kết đã được ngân hàng tài trợ thanh toán Cam kết chưa thực hiện,Cam kết đã được ngân hàng tài trợ thanh toán Cam kết chưa thực hiện,Cam kết đã được ngân hàng tài trợ thanh toán Cam kết chưa thực hiện,1.046.565.374.433,-,1.046.565.374.433,1046565374433.0,,1046565374433.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,843.923.180.216,23.055.440.025,820.867.740.191,843923180216.0,23055440025.0,820867740191.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,7.507.039.132.842,270.052.215.314,7.236.986.917.528,7507039132842.0,270052215314.0,7236986917528.0
Tổng,Tổng,Tổng,57.469.578.797.723,293.591.506.239,57.175.987.291.484,57469578797723.0,293591506239.0,57175987291484.0
