row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2019VND,1/1/2019VND,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH MTV Petrolimex Singapore,Công ty con > Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,160.498.179.517,-,160498179517.0,
Tổng Công ty Vận tải thủy Petrolimex,Công ty con > Tổng Công ty Vận tải thủy Petrolimex,Tổng Công ty Vận tải thủy Petrolimex,68.459.201.221,39.202.450.622,68459201221.0,39202450622.0
Công ty Cổ phần Vận tải Xăng dầu,Công ty Cổ phần Vận tải Xăng dầu,Công ty Cổ phần Vận tải Xăng dầu,,,,
Đường thủy Petrolimex,Công ty Cổ phần Vận tải Xăng dầu > Đường thủy Petrolimex,Đường thủy Petrolimex,292.432.049,8.575.833.941,292432049.0,8575833941.0
Công ty Liên doanh TNHH Kho Xăng dầu,Công ty Liên doanh TNHH Kho Xăng dầu,Công ty Liên doanh TNHH Kho Xăng dầu,,,,
Ngoại quan Vân Phong,Công ty Liên doanh TNHH Kho Xăng dầu > Ngoại quan Vân Phong,Ngoại quan Vân Phong,-,29.588.124.086,,29588124086.0
Công ty Cổ phần Vận tải Xăng dầu Vitaco,Công ty Liên doanh TNHH Kho Xăng dầu > Công ty Cổ phần Vận tải Xăng dầu Vitaco,Công ty Cổ phần Vận tải Xăng dầu Vitaco,23.620.333.690,11.743.632.449,23620333690.0,11743632449.0
Công ty Cổ phần Tín học Viễn thông Petrolimex,Công ty Liên doanh TNHH Kho Xăng dầu > Công ty Cổ phần Tín học Viễn thông Petrolimex,Công ty Cổ phần Tín học Viễn thông Petrolimex,17.878.980.280,25.115.958.294,17878980280.0,25115958294.0
Công ty TNHH MTV Vitaco Sài Gòn,Công ty Liên doanh TNHH Kho Xăng dầu > Công ty TNHH MTV Vitaco Sài Gòn,Công ty TNHH MTV Vitaco Sài Gòn,10.623.407.580,6.971.666.592,10623407580.0,6971666592.0
Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,Công ty Liên doanh TNHH Kho Xăng dầu > Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,-,1.332.191.896,,1332191896.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Công ty liên kết > Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,12.034.600.039,8.387.384.424,12034600039.0,8387384424.0
Ngân hàng Thương mại Cổ phần,Ngân hàng Thương mại Cổ phần,Ngân hàng Thương mại Cổ phần,,,,
Xăng dầu Petrolimex,Ngân hàng Thương mại Cổ phần > Xăng dầu Petrolimex,Xăng dầu Petrolimex,22.987.003.641,16.580.481.558,22987003641.0,16580481558.0
,,,316.394.138.017,147.497.723.862,316394138017.0,147497723862.0
