row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,31/12/2019 > Giá gốc VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,31/12/2019 > Giá trị hợp lý VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,1/1/2019 > Giá gốc VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,1/1/2019 > Giá trị hợp lý VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,numeric__31/12/2019 > Giá gốc VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,numeric__31/12/2019 > Giá trị hợp lý VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,numeric__1/1/2019 > Giá gốc VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,numeric__1/1/2019 > Giá trị hợp lý VND > Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,4.065.000.000.000,4.065.000.000.000,3.748.000.000.000,3.748.000.000.000,4065000000000.0,4065000000000.0,3748000000000.0,3748000000000.0
Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,,,,
Trái phiếu,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn > Trái phiếu,Trái phiếu,800.000.000.000,(*),-,-,800000000000.0,,,
