row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,46.527.318.433,47.863.494.800,32.900.604.313,217.113.974.576,553.745.455,344.959.137.577,46527318433.0,47863494800.0,32900604313.0,217113974576.0,553745455.0,344959137577.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,-,816.389.992,913.893.784,1.730.283.776,,,,816389992.0,913893784.0,1730283776.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,46.527.318.433,47.863.494.800,32.900.604.313,217.930.364.568,1.467.639.239,346.689.421.353,46527318433.0,47863494800.0,32900604313.0,217930364568.0,1467639239.0,346689421353.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,31.176.850.650,23.110.821.388,15.041.154.091,151.497.778.602,184.746.401,221.011.351.132,31176850650.0,23110821388.0,15041154091.0,151497778602.0,184746401.0,221011351132.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.453.880.863,8.391.449.426,3.066.570.074,24.006.782.812,178.616.754,37.097.299.929,1453880863.0,8391449426.0,3066570074.0,24006782812.0,178616754.0,37097299929.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,32.630.731.513,31.502.270.814,18.107.724.165,175.504.561.414,363.363.155,258.108.651.061,32630731513.0,31502270814.0,18107724165.0,175504561414.0,363363155.0,258108651061.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,15.350.467.783,24.752.673.412,17.859.450.222,65.616.195.974,368.999.054,123.947.786.445,15350467783.0,24752673412.0,17859450222.0,65616195974.0,368999054.0,123947786445.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,13.896.586.920,16.361.223.986,14.792.880.148,42.425.803.154,1.104.276.084,88.580.770.292,13896586920.0,16361223986.0,14792880148.0,42425803154.0,1104276084.0,88580770292.0
