row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019 VND,1/1/2019 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__1/1/2019 VND Đã điều chỉnh lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),TÀI SẢN > Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),100,,28.014.188.959.005,24.348.950.207.360,100.0,,28014188959005.0,24348950207360.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,7.187.361.116.526,6.679.896.073.798,110.0,4.0,7187361116526.0,6679896073798.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,2.967.361.116.526,2.762.896.073.798,111.0,,2967361116526.0,2762896073798.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,4.220.000.000.000,3.917.000.000.000,112.0,,4220000000000.0,3917000000000.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,4.065.000.000.000,3.748.000.000.000,120.0,,4065000000000.0,3748000000000.0
Đầu tư nấm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nấm giữ đến ngày đáo hạn,Đầu tư nấm giữ đến ngày đáo hạn,123,5,4.065.000.000.000,3.748.000.000.000,123.0,5.0,4065000000000.0,3748000000000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,6.263.788.554.034,5.302.040.386.822,130.0,,6263788554034.0,5302040386822.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,6,5.049.474.458.230,4.857.167.152.246,131.0,6.0,5049474458230.0,4857167152246.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,20.735.341.218,19.586.325.216,132.0,,20735341218.0,19586325216.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,7,1.193.578.754.586,425.286.909.360,136.0,7.0,1193578754586.0,425286909360.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,8,8.964.830.014.892,7.186.390.850.583,140.0,8.0,8964830014892.0,7186390850583.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,9.020.486.274.083,7.744.366.042.273,141.0,,9020486274083.0,7744366042273.0
Dự phòng giảm giá hàng tồn kho,TÀI SẢN > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(55.656.259.191),(557.975.191.690),149.0,,-55656259191.0,-557975191690.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,1.533.209.273.553,1.432.622.896.157,150.0,,1533209273553.0,1432622896157.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,12(a),104.260.051.873,131.030.614.566,151.0,,104260051873.0,131030614566.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,216.312.894.740,126.002.778.292,152.0,,216312894740.0,126002778292.0
Thuế và các khoản phải thu Nhà nước,TÀI SẢN > Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,153,15,1.212.636.326.940,1.175.589.503.299,153.0,15.0,1212636326940.0,1175589503299.0
