row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chú sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chú sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,12.938.780.810.000,2.246.997.553.623,(1.350.648.460.000),56.981.179.159,1.252.002.338.768,3.492.077.393.584,18.636.190.815.134,12938780810000.0,2246997553623.0,-1350648460000.0,56981179159.0,1252002338768.0,3492077393584.0,18636190815134.0
Lợi nhuận thuần trong năm – đã điều chỉnh lại,Lợi nhuận thuần trong năm – đã điều chỉnh lại,Lợi nhuận thuần trong năm – đã điều chỉnh lại,-,-,-,-,-,3.146.946.538.361,3.146.946.538.361,,,,,,3146946538361.0,3146946538361.0
Lợi nhuận thuần trong năm – theo báo cáo trước đây,Lợi nhuận thuần trong năm – theo báo cáo trước đây,Lợi nhuận thuần trong năm – theo báo cáo trước đây,-,-,-,-,-,3.061.720.158.218,3.061.720.158.218,,,,,,3061720158218.0,3061720158218.0
Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 36),Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 36),Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 36),-,-,-,-,-,85.226.380.143,85.226.380.143,,,,,,85226380143.0,85226380143.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(15.637.688.584),(15.637.688.584),,,,,,-15637688584.0,-15637688584.0
Cổ tức (Thuyết minh 21),Cổ tức (Thuyết minh 21),Cổ tức (Thuyết minh 21),-,-,-,-,-,(3.476.439.705.000),(3.476.439.705.000),,,,,,-3476439705000.0,-3476439705000.0
Số dư tại ngày 1/1/2019 - đã điều chỉnh lại,Số dư tại ngày 1/1/2019 - đã điều chỉnh lại,Số dư tại ngày 1/1/2019 - đã điều chỉnh lại,12.938.780.810.000,2.246.997.553.623,(1.350.648.460.000),56.981.179.159,1.252.002.338.768,3.146.946.538.361,18.291.059.959.911,12938780810000.0,2246997553623.0,-1350648460000.0,56981179159.0,1252002338768.0,3146946538361.0,18291059959911.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,3.138.732.256.882,3.138.732.256.882,,,,,,3138732256882.0,3138732256882.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(17.605.747.217),(17.605.747.217),,,,,,-17605747217.0,-17605747217.0
Bán cổ phiếu quỹ (Thuyết minh 20),Bán cổ phiếu quỹ (Thuyết minh 20),Bán cổ phiếu quỹ (Thuyết minh 20),-,1.678.556.565.742,320.000.000.000,-,-,-,1.998.556.565.742,,1678556565742.0,320000000000.0,,,,1998556565742.0
Cổ tức (Thuyết minh 21),Cổ tức (Thuyết minh 21),Cổ tức (Thuyết minh 21),-,-,-,-,-,(3.044.114.411.000),(3.044.114.411.000),,,,,,-3044114411000.0,-3044114411000.0
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,12.938.780.810.000,3.925.554.119.365,(1.030.648.460.000),56.981.179.159,1.252.002.338.768,3.223.958.637.026,40.639.644.354.483,12938780810000.0,3925554119365.0,-1030648460000.0,56981179159.0,1252002338768.0,3223958637026.0,40639644354483.0
