row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2019 VND,2018 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__2019 VND,numeric__2018 VND Đã điều chỉnh lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,24,127.815.852.098.622,134.041.224.722.406,1.0,24.0,127815852098622.0,134041224722406.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,11,25,125.007.851.989.402,131.063.297.852.542,11.0,25.0,125007851989402.0,131063297852542.0
Lợi nhuận gộp (20 = 01 - 11),Lợi nhuận gộp (20 = 01 - 11),Lợi nhuận gộp (20 = 01 - 11),20,,2.808.000.109.220,2.977.926.869.864,20.0,,2808000109220.0,2977926869864.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,26,2.849.974.606.506,2.812.673.744.720,21.0,26.0,2849974606506.0,2812673744720.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,27,356.070.606.006,670.604.782.374,22.0,27.0,356070606006.0,670604782374.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,198.467.177.969,282.114.807.047,23.0,,198467177969.0,282114807047.0
Chi phí bán hàng và quản lý doanh nghiệp,Chi phí bán hàng và quản lý doanh nghiệp,Chi phí bán hàng và quản lý doanh nghiệp,25,28,1.956.351.676.527,1.908.582.284.325,25.0,28.0,1956351676527.0,1908582284325.0
Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 25),Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 25),Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 25),30,,3.345.552.433.193,3.211.413.547.885,30.0,,3345552433193.0,3211413547885.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,29,54.276.306.093,300.504.087.189,31.0,29.0,54276306093.0,300504087189.0
Chi phí khác,Chi phí khác,Chi phí khác,32,30,31.547.775.983,47.471.170.799,32.0,30.0,31547775983.0,47471170799.0
Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),40,,22.728.530.110,253.032.916.390,40.0,,22728530110.0,253032916390.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,3.368.280.963.303,3.464.446.464.275,50.0,,3368280963303.0,3464446464275.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,32,229.548.706.421,292.001.115.537,51.0,32.0,229548706421.0,292001115537.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,32,-,25.498.810.377,52.0,32.0,,25498810377.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),60,,3.138.732.256.882,3.146.946.538.361,60.0,,3138732256882.0,3146946538361.0
