row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ,% sở hữu,% quyền biểu quyết,31/12/2019 > Giá gốc VND,31/12/2019 > Dự phòng VND,31/12/2019 > Giá trị hợp lý VND,31/12/2019 > % sở hữu,1/1/2019 > % quyền biểu quyết,1/1/2019 > Giá gốc VND,1/1/2019 > Dự phòng VNDĐã điều chỉnh lại,numeric__Tên Công ty,numeric__Địa chỉ,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__31/12/2019 > Giá gốc VND,numeric__31/12/2019 > Dự phòng VND,numeric__31/12/2019 > Giá trị hợp lý VND,numeric__31/12/2019 > % sở hữu,numeric__1/1/2019 > % quyền biểu quyết,numeric__1/1/2019 > Giá gốc VND,numeric__1/1/2019 > Dự phòng VNDĐã điều chỉnh lại
1,1,1,Tổng Công ty Văn tải Thủy Petrolimex,Hà Nội,100%,100%,2.196.550.463.185,-,(*),100%,100%,2.196.550.463.185,-,,,1.0,1.0,2196550463185.0,,,1.0,1.0,2196550463185.0,
2,2,2,Công ty LD TNHH Kho Xăng dầu,Khánh,,,,,,,,,,,,,,,,,,,,
,,,Ngoại quan Văn Phong,Hòa,85%,85%,629.755.076.565,-,(*),85%,85%,629.755.076.565,-,,,0.85,0.85,629755076565.0,,,0.85,0.85,629755076565.0,
3,2 > 3,3,Tổng Công ty Hóa dầu Petrólimex – CTCP,Hà Nội,79%,79%,570.562.500.000,-,721.948.626.700,79%,79%,570.562.500.000,-,,,0.79,0.79,570562500000.0,,721948626700.0,0.79,0.79,570562500000.0,
4,2 > 4,4,Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Hà Nội,100%,100%,316.568.434.951,-,(*),100%,100%,316.568.434.951,-,,,1.0,1.0,316568434951.0,,,1.0,1.0,316568434951.0,
5,2 > 5,5,Tổng Công ty Gas Petrolimex – CTCP,Hà Nội,52%,52%,306.662.738.200,-,470.904.055.100,52%,52%,306.662.738.200,-,,,0.52,0.52,306662738200.0,,470904055100.0,0.52,0.52,306662738200.0,
6,2 > 6,6,Công ty TNHH MTV Petrolimex Singapore,Singapore,100%,100%,287.897.418.502,-,(*),100%,100%,287.897.418.502,-,,,1.0,1.0,287897418502.0,,,1.0,1.0,287897418502.0,
7,2 > 7,7,Công ty CP Nhiên liệu bay Petrolimex,Hà Nội,59%,59%,88.500.000.000,-,(*),59%,59%,88.500.000.000,-,,,0.59,0.59,88500000000.0,,,0.59,0.59,88500000000.0,
8,2 > 8,8,Công ty TNHH MTV Petrolimex Lào,Lào,100%,100%,68.162.068.617,(39.376.260.000),(*),100%,100%,68.162.068.617,(27.489.952.495),,,1.0,1.0,68162068617.0,-39376260000.0,,1.0,1.0,68162068617.0,-27489952495.0
