row_label_raw,row_label_full,col_0,31/12/2018(theo báo cáotrước đây)VND,31/12/2018(điều chỉnh củaKiểm toán Nhà nước)VND,31/12/2018(dã điều chỉnh lại)VND,numeric__31/12/2018(theo báo cáotrước đây)VND,numeric__31/12/2018(điều chỉnh củaKiểm toán Nhà nước)VND,numeric__31/12/2018(dã điều chỉnh lại)VND
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,333.386.134.807,91.900.774.553,425.286.909.360,333386134807.0,91900774553.0,425286909360.0
Dự phòng đầu tư tài chínhdài hạn,Dự phòng đầu tư tài chínhdài hạn,Dự phòng đầu tư tài chínhdài hạn,(54.620.768.450),11.886.307.505,(42.734.460.945),-54620768450.0,11886307505.0,-42734460945.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,231.906.511.257,909.000.000,232.815.511.257,231906511257.0,909000000.0,232815511257.0
Tài sản thuế thu nhập hoãn lạiThuế và các khoản,Tài sản thuế thu nhập hoãn lạiThuế và các khoản,Tài sản thuế thu nhập hoãn lạiThuế và các khoản,17.513.214.437,(17.513.214.437),-,17513214437.0,-17513214437.0,
phải nộp Nhà nước,phải nộp Nhà nước,phải nộp Nhà nước,(36.223.862.965),(821.803.723),(37.045.666.688),-36223862965.0,-821803723.0,-37045666688.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(236.103.241.146),(1.134.683.755),(237.237.924.901),-236103241146.0,-1134683755.0,-237237924901.0
Lợi nhuận sau thuếchưa phân phối,Lợi nhuận sau thuếchưa phân phối,Lợi nhuận sau thuếchưa phân phối,(3.061.720.158.218),(85.226.380.143),(3.146.946.538.361),-3061720158218.0,-85226380143.0,-3146946538361.0
