row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Bản quyền phần mềm VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Bản quyền phần mềm VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,216.496.103.958,317.072.487.942,5.860.531.000,3.555.000.000,542.984.122.900,216496103958.0,317072487942.0,5860531000.0,3555000000.0,542984122900.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,4.110.000.000,-,-,4.110.000.000,,4110000000.0,,,4110000000.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,6.186.015.000,-,-,6.186.015.000,,6186015000.0,,,6186015000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,216.496.103.958,327.368.502.942,5.860.531.000,3.555.000.000,553.280.137.900,216496103958.0,327368502942.0,5860531000.0,3555000000.0,553280137900.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,18.544.772.285,272.179.351.289,2.749.400.164,3.525.776.112,296.999.299.850,18544772285.0,272179351289.0,2749400164.0,3525776112.0,296999299850.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.966.580.864,6.810.030.893,586.053.100,29.223.888,11.391.888.745,3966580864.0,6810030893.0,586053100.0,29223888.0,11391888745.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,22.511.353.149,278.989.382.182,3.335.453.264,3.555.000.000,308.391.188.595,22511353149.0,278989382182.0,3335453264.0,3555000000.0,308391188595.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,197.951.331.673,44.893.136.653,3.111.130.836,29.223.888,245.984.823.050,197951331673.0,44893136653.0,3111130836.0,29223888.0,245984823050.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,193.984.750.809,48.379.120.760,2.525.077.736,-,244.888.949.305,193984750809.0,48379120760.0,2525077736.0,,244888949305.0
