row_label_raw,row_label_full,col_0,Quá hạn,Không địnhlại lãi suất,Lãi suất được định lại trong vòng,Lãi suất được định lại trong vòng_1,Lãi suất được định lại trong vòng_2,Lãi suất được định lại trong vòng_3,Lãi suất được định lại trong vòng_4,Lãi suất được định lại trong vòng_5,Tổng,numeric__Quá hạn,numeric__Không địnhlại lãi suất,numeric__Lãi suất được định lại trong vòng,numeric__Lãi suất được định lại trong vòng_1,numeric__Lãi suất được định lại trong vòng_2,numeric__Lãi suất được định lại trong vòng_3,numeric__Lãi suất được định lại trong vòng_4,numeric__Lãi suất được định lại trong vòng_5,numeric__Tổng
,,,Quá hạn,Không địnhlại lãi suất,Đến 1 tháng,Từ 1 - 3tháng,Từ 3 - 6tháng,Từ 6 - 12tháng,Từ 1 - 5 năm,Trên 5năm,Tổng,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt vàng bạc, đá quí","Tài sản > Tiền mặt vàng bạc, đá quí","Tiền mặt vàng bạc, đá quí",-,1.098.098,-,-,-,-,-,-,1.098.098,,1098098.0,,,,,,,1098098.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,2.473.941,-,-,-,-,-,2.473.941,,,2473941.0,,,,,,2473941.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,7.974.480,217.591,223.534,-,-,-,8.415.605,,,7974480.0,217591.0,223534.0,,,,8415605.0
Cho vay khách hàng và hoạt động mua nợ (*),Tài sản > Cho vay khách hàng và hoạt động mua nợ (*),Cho vay khách hàng và hoạt động mua nợ (*),1.556.471,-,23.978.552,42.898.821,11.384.038,15.456.321,1.259.587,24.116,96.557.906,1556471.0,,23978552.0,42898821.0,11384038.0,15456321.0,1259587.0,24116.0,96557906.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),100.000,-,821.269,4.612.142,3.497.647,6.265.810,5.343.145,5.848.790,26.488.803,100000.0,,821269.0,4612142.0,3497647.0,6265810.0,5343145.0,5848790.0,26488803.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,285.274,-,-,-,-,-,-,285.274,,285274.0,,,,,,,285274.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,343.562,-,-,-,-,-,-,343.562,,343562.0,,,,,,,343562.0
Tài sản có khác (*),Tài sản > Tài sản có khác (*),Tài sản có khác (*),-,4.722.811,-,-,-,-,-,-,4.722.811,,4722811.0,,,,,,,4722811.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.656.471,6.449.745,35.248.242,47.728.554,15.105.219,21.722.131,6.602.732,5.872.906,140.386.000,1656471.0,6449745.0,35248242.0,47728554.0,15105219.0,21722131.0,6602732.0,5872906.0,140386000.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,19.315.160,3.245.176,3.375.519,42,4.296.625,-,30.232.522,,,19315160.0,3245176.0,3375519.0,42.0,4296625.0,,30232522.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,34.234.338,17.307.481,21.775.853,8.170.557,3.540.373,2.130,85.030.732,,,34234338.0,17307481.0,21775853.0,8170557.0,3540373.0,2130.0,85030732.0
Các công cụ tài chính phải sinh và các công nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các công nợ tài chính khác,Các công cụ tài chính phải sinh và các công nợ tài chính khác,-,20.471,-,-,-,-,-,-,20.471,,20471.0,,,,,,,20471.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,799,10.807,36,1.427,6.749,-,19.818,,,799.0,10807.0,36.0,1427.0,6749.0,,19818.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,1.149,-,-,119.614,255.512,1.900.000,7.602.399,273.756,10.152.430,1149.0,,,119614.0,255512.0,1900000.0,7602399.0,273756.0,10152430.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,3.195.776,-,-,-,-,-,-,3.195.776,,3195776.0,,,,,,,3195776.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,1.149,3.216.247,53.550.297,20.683.078,25.406.920,10.072.026,15.446.146,275.886,128.651.749,1149.0,3216247.0,53550297.0,20683078.0,25406920.0,10072026.0,15446146.0,275886.0,128651749.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,1.655.322,3.233.498,(18.302.055),27.045.476,(10.301.701),11.650.105,(8.843.414),5.597.020,11.734.251,1655322.0,3233498.0,-18302055.0,27045476.0,-10301701.0,11650105.0,-8843414.0,5597020.0,11734251.0
Mức chênh nhạy cảm với lãi suất ngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất ngoại bảng,Mức chênh nhạy cảm với lãi suất ngoại bảng,-,-,(41.966),(78.794),60.634,36.963,2.803,-,(20.360),,,-41966.0,-78794.0,60634.0,36963.0,2803.0,,-20360.0
Tổng mức chênh nhạy cảm với lãi suất,Nợ phải trả > Tổng mức chênh nhạy cảm với lãi suất,Tổng mức chênh nhạy cảm với lãi suất,1.655.322,3.233.498,(18.344.021),26.966.682,(10.241.067),11.687.068,(8.840.611),5.597.020,11.713.891,1655322.0,3233498.0,-18344021.0,26966682.0,-10241067.0,11687068.0,-8840611.0,5597020.0,11713891.0
