row_label_raw,row_label_full,col_0,31/12/2018triệu đồng,31/12/2017triệu đồng,numeric__31/12/2018triệu đồng,numeric__31/12/2017triệu đồng
"Các khoản lãi, phí phải trả (i)","Các khoản lãi, phí phải trả (i)","Các khoản lãi, phí phải trả (i)",1.467.102,1.216.512,1467102.0,1216512.0
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,502.183,293.786,502183.0,293786.0
Các khoản phải trả cán bộ nhân viên,Các khoản phải trả cán bộ nhân viên,Các khoản phải trả cán bộ nhân viên,294.766,199.399,294766.0,199399.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",78.631,34.356,78631.0,34356.0
Phải trả nội bộ khác,Phải trả nội bộ khác,Phải trả nội bộ khác,128.786,60.031,128786.0,60031.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,758.843,557.918,758843.0,557918.0
Thuế và các khoản phải nộp nhà nước(Thuyết minh số 21),Thuế và các khoản phải nộp nhà nước(Thuyết minh số 21),Thuế và các khoản phải nộp nhà nước(Thuyết minh số 21),213.591,161.529,213591.0,161529.0
Tiền giữ hộ và đội thanh toán,Tiền giữ hộ và đội thanh toán,Tiền giữ hộ và đội thanh toán,1.453,1.393,1453.0,1393.0
Phải trả thanh toán giữa các tổ chức tín dụng,Phải trả thanh toán giữa các tổ chức tín dụng,Phải trả thanh toán giữa các tổ chức tín dụng,145.167,89.182,145167.0,89182.0
Phải trả chuyển tiền chờ thanh toán,Phải trả chuyển tiền chờ thanh toán,Phải trả chuyển tiền chờ thanh toán,39.802,63.664,39802.0,63664.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,358.777,242.008,358777.0,242008.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,53,142,53.0,142.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,467.648,10.843,467648.0,10843.0
,,,3.195.776,2.079.059,3195776.0,2079059.0
