row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình: > Số dư đầu năm,Số dư đầu năm,-,277.041,7.138,284.179,,277041.0,7138.0,284179.0
Mua trong năm,Nguyên giá TSCĐ vô hình: > Mua trong năm,Mua trong năm,-,37.220,108,37.328,,37220.0,108.0,37328.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình: > Số dư cuối năm,Số dư cuối năm,-,314.261,7.246,321.507,,314261.0,7246.0,321507.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,-,128.757,5.396,134.153,,128757.0,5396.0,134153.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,34.531,968,35.499,,34531.0,968.0,35499.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,-,163.288,6.364,169.652,,163288.0,6364.0,169652.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,-,148.284,1.742,150.026,,148284.0,1742.0,150026.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,-,150.973,882,151.855,,150973.0,882.0,151855.0
