row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá triệu đồng,Đã quá hạn và chưa bị giảm giá triệu đồng,Đã quá hạn và đã trích lập dự phòng triệu đồng,Tổng cộng triệu đồng,numeric__Chưa quá hạn và chưa bị giảm giá triệu đồng,numeric__Đã quá hạn và chưa bị giảm giá triệu đồng,numeric__Đã quá hạn và đã trích lập dự phòng triệu đồng,numeric__Tổng cộng triệu đồng
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,8.415.605,-,-,8.415.605,8415605.0,,,8415605.0
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,7.723.631,-,-,7.723.631,7723631.0,,,7723631.0
- Cho vay các TCTD khác,- Cho vay các TCTD khác,- Cho vay các TCTD khác,691.974,-,-,691.974,691974.0,,,691974.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,92.543.983,2.140.148,1.454.604,96.138.735,92543983.0,2140148.0,1454604.0,96138735.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,398.504,18.692,1.975,419.171,398504.0,18692.0,1975.0,419171.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,26.388.803,-,100.000,26.488.803,26388803.0,,100000.0,26488803.0
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,26.346.423,-,100.000,26.446.423,26346423.0,,100000.0,26446423.0
- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,42.380,-,-,42.380,42380.0,,,42380.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,4.722.811,-,-,4.722.811,4722811.0,,,4722811.0
Tổng cộng,Tổng cộng,Tổng cộng,132.469.706,2.158.840,1.556.579,136.185.125,132469706.0,2158840.0,1556579.0,136185125.0
