row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy mócthiết bịtriệu đồng,Phương tiện vântài và thiết bịtruyền đãntriệu đồng,"Thiết bị, dụng cụquản lýtriệu đồng",TSCĐ hữu hìnhkháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy mócthiết bịtriệu đồng,numeric__Phương tiện vântài và thiết bịtruyền đãntriệu đồng,"numeric__Thiết bị, dụng cụquản lýtriệu đồng",numeric__TSCĐ hữu hìnhkháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ: > Số dư đầu năm,Số dư đầu năm,95.838,283.669,52.764,30.015,85.192,547.478,95838.0,283669.0,52764.0,30015.0,85192.0,547478.0
Mua trong năm,Nguyên giá TSCĐ: > Mua trong năm,Mua trong năm,2.465,20.736,1.442,5.271,3.537,33.451,2465.0,20736.0,1442.0,5271.0,3537.0,33451.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(4.592),-,-,(4.592),,,-4592.0,,,-4592.0
Số dư cuối năm,Nguyên giá TSCĐ: > Số dư cuối năm,Số dư cuối năm,98.303,304.405,49.614,35.286,88.729,576.337,98303.0,304405.0,49614.0,35286.0,88729.0,576337.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,34.718,182.063,44.617,12.656,57.231,331.285,34718.0,182063.0,44617.0,12656.0,57231.0,331285.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,6.019,30.428,1.036,5.039,12.842,55.364,6019.0,30428.0,1036.0,5039.0,12842.0,55364.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(2.019),-,-,(2.019),,,-2019.0,,,-2019.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,40.737,212.491,43.634,17.695,70.073,384.630,40737.0,212491.0,43634.0,17695.0,70073.0,384630.0
Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ: > Số dư đầu năm,Số dư đầu năm,61.120,101.606,8.147,17.359,27.961,216.193,61120.0,101606.0,8147.0,17359.0,27961.0,216193.0
Số dư cuối năm,Giá trị còn lại của TSCĐ: > Số dư cuối năm,Số dư cuối năm,57.566,91.914,5.980,17.591,18.656,191.707,57566.0,91914.0,5980.0,17591.0,18656.0,191707.0
