row_label_raw,row_label_full,col_0,Giá trị số kế toán > 31/12/2016,Giá trị số kế toán > 01/01/2016,numeric__Giá trị số kế toán > 31/12/2016,numeric__Giá trị số kế toán > 01/01/2016
,,,VND,VND,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,3.889.384.689.273,521.327.353.978,3889384689273.0,521327353978.0
"Phải trả người bán, phải trả khác","Nợ phải trả tài chính > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",983.739.617.991,946.521.459.986,983739617991.0,946521459986.0
Chi phí phải trả,Nợ phải trả tài chính > Chi phí phải trả,Chi phí phải trả,49.531.866.288,34.017.384.934,49531866288.0,34017384934.0
,,,4.922.656.173.552,1.501.866.198.898,4922656173552.0,1501866198898.0
