row_label_raw,row_label_full,col_0,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ quyền biểu,Giá trị ghi sở theo PP vốn chủ sở hữu,Địa chỉ_1,Tỷ lệ lợi ích_1,Tỷ lệ quyền biểu_1,Giá trị ghi sở theo PP vốn chủ sở hữu_1,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu,numeric__Giá trị ghi sở theo PP vốn chủ sở hữu,numeric__Địa chỉ_1,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ quyền biểu_1,numeric__Giá trị ghi sở theo PP vốn chủ sở hữu_1
,,,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ quyền biểu,VND,VND,VND,VND,VND,,,,,,,,
- Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,- Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,- Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,TP. Hà Nội,"34,27%","34,27%",985.827.730,TP. Hà Nội,"34,27%","34,27%",20.360.017.528,,0.3427,0.3427,985827730.0,,0.3427,0.3427,20360017528.0
- Công ty Cổ phần Vật tư và Xây dựng Hà Nội (*),- Công ty Cổ phần Vật tư và Xây dựng Hà Nội (*),- Công ty Cổ phần Vật tư và Xây dựng Hà Nội (*),TP. Hà Nội,,,-,TP. Hà Nội,"45,00%","45,00%",5.528.359.676,,,,,,0.45,0.45,5528359676.0
- Công ty Dây Đồng Việt Nam - CFT,- Công ty Dây Đồng Việt Nam - CFT,- Công ty Dây Đồng Việt Nam - CFT,Tỉnh Đồng Nai,"36,35%","36,35%",108.275.111.882,Tỉnh Đồng Nai,"36,35%","36,35%",114.115.327.257,,0.3635,0.3635,108275111882.0,,0.3635,0.3635,114115327257.0
- Công ty Cổ phần Sản xuất và Thương mại EMIC,- Công ty Cổ phần Sản xuất và Thương mại EMIC,- Công ty Cổ phần Sản xuất và Thương mại EMIC,TP. Hà Nội,"25,50%","25,50%",7.818.599.076,TP. Hà Nội,"25,50%","25,50%",7.049.361.952,,0.255,0.255,7818599076.0,,0.255,0.255,7049361952.0
- Công ty Cổ phần Thiết bị điện (*),- Công ty Cổ phần Thiết bị điện (*),- Công ty Cổ phần Thiết bị điện (*),Tỉnh Đồng Nai,,,-,Tỉnh Đồng Nai,"43,44%","43,44%",198.878.604.355,,,,,,0.43439999999999995,0.43439999999999995,198878604355.0
- Công ty TNHH SAS - CTAMAD,- Công ty TNHH SAS - CTAMAD,- Công ty TNHH SAS - CTAMAD,TP. Hà Nội,"23,14%","23,14%",279.388.313.061,TP. Hà Nội,"23,11%","23,11%",292.939.196.561,,0.2314,0.2314,279388313061.0,,0.2311,0.2311,292939196561.0
- Công ty Cổ phần Khí cụ điện I (*),- Công ty Cổ phần Khí cụ điện I (*),- Công ty Cổ phần Khí cụ điện I (*),TP. Hà Nội,"49,24%","49,24%",49.506.970.116,TP. Hà Nội,-,-,-,,0.4924,0.4924,49506970116.0,,,,
- Công ty cổ phần kho vận Miền Nam (*),- Công ty cổ phần kho vận Miền Nam (*),- Công ty cổ phần kho vận Miền Nam (*),TP.Hồ Chí Minh,"24,93%","24,93%",554.292.836.363,TP.Hồ Chí Minh,-,-,-,,0.2493,0.2493,554292836363.0,,,,
,,,,,,1.000.267.658.228,,,,638.870.867.329,,,,1000267658228.0,,,,638870867329.0
