row_label_raw,row_label_full,col_0,Số phải thu đầu năm,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Tăng/giảm do hợp nhất kinh doanh,Số phải thu cuối năm,Số phải nộp cuối năm,numeric__Số phải thu đầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Tăng/giảm do hợp nhất kinh doanh,numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,9.632.950,2.807.175.258,237.358.290.199,229.123.478.980,(497.470.786),345.242.520,10.880.125.261,9632950.0,2807175258.0,237358290199.0,229123478980.0,-497470786.0,345242520.0,10880125261.0
"Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu",6.688.381,-,1.510.986.247,1.586.210.967,-,81.913.101,-,6688381.0,,1510986247.0,1586210967.0,,81913101.0,
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,-,24.083.794.257,131.736.753.361,112.938.901.052,(3.596.427.742),2.034.912.802,41.320.131.626,,24083794257.0,131736753361.0,112938901052.0,-3596427742.0,2034912802.0,41320131626.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,-,2.269.616.877,20.642.171.115,19.764.362.204,(1.258.521.098),1.151.065.393,3.039.970.083,,2269616877.0,20642171115.0,19764362204.0,-1258521098.0,1151065393.0,3039970083.0
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",-,4.160.240,10.040.819.795,9.415.638.905,707.676.960,-,1.337.018.090,,4160240.0,10040819795.0,9415638905.0,707676960.0,,1337018090.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,794.869.841,644.473.022,-,-,150.396.819,,,794869841.0,644473022.0,,,150396819.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,-,912.990.188,78.344.016,-,-,834.646.172,,,912990188.0,78344016.0,,,834646172.0
,,,16.321.331,29.164.746.632,402.996.880.746,373.551.409.146,(4.644.742.666),3.613.133.816,57.562.288.051,16321331.0,29164746632.0,402996880746.0,373551409146.0,-4644742666.0,3613133816.0,57562288051.0
