row_label_raw,row_label_full,col_0,Tỷ lệ(%),Số tiềnVND,numeric__Tỷ lệ(%),numeric__Số tiềnVND
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,"100,00%",249.651.441.276,1.0,249651441276.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,"31,11%",77.656.441.276,0.3111,77656441276.0
Trích Quỹ thường Ban điều hành,Trích Quỹ thường Ban điều hành,Trích Quỹ thường Ban điều hành,"1,00%",2.495.000.000,0.01,2495000000.0
"Trích Quỹ khen thường, phúc lợi","Trích Quỹ khen thường, phúc lợi","Trích Quỹ khen thường, phúc lợi","6,01%",15.000.000.000,0.0601,15000000000.0
Chi trả cổ tức (bằng 10% vốn điều lệ),Chi trả cổ tức (bằng 10% vốn điều lệ),Chi trả cổ tức (bằng 10% vốn điều lệ),"61,89%",154.500.000.000,0.6189,154500000000.0
