row_label_raw,row_label_full,Tại ngày 31/12/2016,Từ 1 nămtrở xuốngVND > Tại ngày 31/12/2016,Trên 1 nămđến 5 nămVND > Tại ngày 31/12/2016,Trên 5 nămVND > Tại ngày 31/12/2016,CộngVND > Tại ngày 31/12/2016,numeric__Từ 1 nămtrở xuốngVND > Tại ngày 31/12/2016,numeric__Trên 1 nămđến 5 nămVND > Tại ngày 31/12/2016,numeric__Trên 5 nămVND > Tại ngày 31/12/2016,numeric__CộngVND > Tại ngày 31/12/2016
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.912.224.131.908,-,-,2.912.224.131.908,2912224131908.0,,,2912224131908.0
"Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.443.470.944.486,441.000.000,-,1.443.911.944.486,1443470944486.0,441000000.0,,1443911944486.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,162.947.794.267,-,-,162.947.794.267,162947794267.0,,,162947794267.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,196.446.708.523,-,-,196.446.708.523,196446708523.0,,,196446708523.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,3.708.689.751,-,3.708.689.751,,3708689751.0,,3708689751.0
,,,4.715.089.579.184,4.149.689.751,-,4.719.239.268.935,4715089579184.0,4149689751.0,,4719239268935.0
Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,518.493.494.834,-,-,518.493.494.834,518493494834.0,,,518493494834.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2016 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",930.061.311.071,395.000.000,-,930.456.311.071,930061311071.0,395000000.0,,930456311071.0
Các khoản cho vay,Tại ngày 01/01/2016 > Các khoản cho vay,Các khoản cho vay,481.627.083.589,-,-,481.627.083.589,481627083589.0,,,481627083589.0
Đầu tư dài hạn,Tại ngày 01/01/2016 > Đầu tư dài hạn,Đầu tư dài hạn,-,7.956.372.800,-,7.956.372.800,,7956372800.0,,7956372800.0
,,,1.930.181.889.494,8.351.372.800,-,1.938.533.262.294,1930181889494.0,8351372800.0,,1938533262294.0
