row_label_raw,row_label_full,"Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","31/12/2016 > Giá gốcVND > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","31/12/2016 > Giá trị có thể thu hồi (*)VND > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","01/01/2016 > Giá gốcVND > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","01/01/2016 > Giá trị có thể thu hồi (*)VND > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__31/12/2016 > Giá gốcVND > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__31/12/2016 > Giá trị có thể thu hồi (*)VND > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__01/01/2016 > Giá gốcVND > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__01/01/2016 > Giá trị có thể thu hồi (*)VND > Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi"
- Công ty Cổ phần Sản xuất Thanh Vân (1),- Công ty Cổ phần Sản xuất Thanh Vân (1),- Công ty Cổ phần Sản xuất Thanh Vân (1),19.260.526.417,-,19.260.526.417,-,19260526417.0,,19260526417.0,
- RMM METALLHANDEL GMBH (2),- RMM METALLHANDEL GMBH (2),- RMM METALLHANDEL GMBH (2),6.871.886.896,2.061.566.069,6.871.886.896,-,6871886896.0,2061566069.0,6871886896.0,
- Các khoản khác,- Các khoản khác,- Các khoản khác,13.932.375.344,925.250.790,30.709.480.227,10.209.328.187,13932375344.0,925250790.0,30709480227.0,10209328187.0
,,,40.064.788.657,2.986.816.859,56.841.893.540,10.209.328.187,40064788657.0,2986816859.0,56841893540.0,10209328187.0
