row_label_raw,row_label_full,col_0,31/12/2016 > Giá trịVND,31/12/2016 > Số có khả năng trảnợVND,01/01/2016 > Giá trịVND,01/01/2016 > Số có khả năng trảnợVND,numeric__31/12/2016 > Giá trịVND,numeric__31/12/2016 > Số có khả năng trảnợVND,numeric__01/01/2016 > Giá trịVND,numeric__01/01/2016 > Số có khả năng trảnợVND
Công ty LGInternational (HK),Công ty LGInternational (HK),Công ty LGInternational (HK),-,-,35.028.075.466,35.028.075.466,,,35028075466.0,35028075466.0
LS NIKKOCOPPER INC.,LS NIKKOCOPPER INC.,LS NIKKOCOPPER INC.,123.177.248.825,123.177.248.825,33.654.074.601,33.654.074.601,123177248825.0,123177248825.0,33654074601.0,33654074601.0
Công ty TNHHMTV Sản xuất vàThương mại TânNghệ Nam,Công ty TNHHMTV Sản xuất vàThương mại TânNghệ Nam,Công ty TNHHMTV Sản xuất vàThương mại TânNghệ Nam,46.820.082.286,46.820.082.286,56.157.913.449,56.157.913.449,46820082286.0,46820082286.0,56157913449.0,56157913449.0
Công ty Cổ phầnDây cấp điện ViệtThái,Công ty Cổ phầnDây cấp điện ViệtThái,Công ty Cổ phầnDây cấp điện ViệtThái,-,-,17.279.749.520,17.279.749.520,,,17279749520.0,17279749520.0
Công ty Cổ phầnĐịa ốc - Cáp điệnThịnh Phát,Công ty Cổ phầnĐịa ốc - Cáp điệnThịnh Phát,Công ty Cổ phầnĐịa ốc - Cáp điệnThịnh Phát,1.307.728.962,1.307.728.962,51.654.495.103,51.654.495.103,1307728962.0,1307728962.0,51654495103.0,51654495103.0
Công ty Cổ phầnKim loại màu vànhựa Đồng Việt,Công ty Cổ phầnKim loại màu vànhựa Đồng Việt,Công ty Cổ phầnKim loại màu vànhựa Đồng Việt,816.425.284,816.425.284,73.838.368.564,73.838.368.564,816425284.0,816425284.0,73838368564.0,73838368564.0
Công ty Cổ phầnDây và cáp Sacom,Công ty Cổ phầnDây và cáp Sacom,Công ty Cổ phầnDây và cáp Sacom,-,-,25.052.616.758,25.052.616.758,,,25052616758.0,25052616758.0
DaewooInternational Corp,DaewooInternational Corp,DaewooInternational Corp,-,-,13.418.105.039,13.418.105.039,,,13418105039.0,13418105039.0
Công ty Dây đồngViệt Nam CFT,Công ty Dây đồngViệt Nam CFT,Công ty Dây đồngViệt Nam CFT,62.028.156.183,62.028.156.183,94.473.185.907,94.473.185.907,62028156183.0,62028156183.0,94473185907.0,94473185907.0
"Shaanxi saameimport and exportCo.,LTD","Shaanxi saameimport and exportCo.,LTD","Shaanxi saameimport and exportCo.,LTD",-,-,1.740.727.500,1.740.727.500,,,1740727500.0,1740727500.0
Công ty Cổ phầnKinh doanh Tổnghợp THIBIDI,Công ty Cổ phầnKinh doanh Tổnghợp THIBIDI,Công ty Cổ phầnKinh doanh Tổnghợp THIBIDI,132.593.256.382,132.593.256.382,-,-,132593256382.0,132593256382.0,,
Phải trả các đối tượng khác,Phải trả các đối tượng khác,Phải trả các đối tượng khác,192.493.146.137,192.493.146.137,169.367.155.843,169.367.155.843,192493146137.0,192493146137.0,169367155843.0,169367155843.0
,,,559.236.044.059,559.236.044.059,571.664.467.750,571.664.467.750,559236044059.0,559236044059.0,571664467750.0,571664467750.0
b) Phải trả ngườibán là các bênliên quan (Xemthông tin chi tiếttại thuyết minh số36.),b) Phải trả ngườibán là các bênliên quan (Xemthông tin chi tiếttại thuyết minh số36.),b) Phải trả ngườibán là các bênliên quan (Xemthông tin chi tiếttại thuyết minh số36.),62.028.156.183,62.028.156.183,94.580.705.907,94.580.705.907,62028156183.0,62028156183.0,94580705907.0,94580705907.0
