row_label_raw,row_label_full,1,Ông Nguyễn Văn Khoa,Tổng Giám đốc,3.776.000.000,3.520.000.000,numeric__Ông Nguyễn Văn Khoa,numeric__Tổng Giám đốc,numeric__3.776.000.000,numeric__3.520.000.000
2,2,2,Ông Nguyễn Thế Phương,Phó Tổng,,,,,,
,,,,Giám đốc,3.000.000.000,2.750.000.000,,,3000000000.0,2750000000.0
3,3,3,Ông Hoàng Việt Anh,Phó Tổng,,,,,,
,,,,Giám đốc,2.400.000.000,2.200.000.000,,,2400000000.0,2200000000.0
4,3 > 4,4,Ông Hoàng Hữu Chiến,Kế toán trường,1.680.000.000,1.540.000.000,,,1680000000.0,1540000000.0
5,5,5,Bà Bùi Nguyễn Phương Châu,Phụ trách,,,,,,
,,,,Quản trị &Công bố thông tin,500.000.000,1.100.000.000,,,500000000.0,1100000000.0
6,6,6,Ông Dương Hoàng Phú,Phụ trách,,,,,,
,,,,Công bố thông tin,330.000.000,-,,,330000000.0,
,,,,,11.686.000.000,11.110.000.000,,,11686000000.0,11110000000.0
