row_label_raw,row_label_full,col_0,Viễn thông,Nội dung số,Phần mềm xuất khẩu,"Dịch vụ CNTT, phần mềm và giải pháp phần mềm, tích hợp hệ thống","Đầu tư, giáo dục và khác",Loại trừ hợp nhất,Tổng cộng,numeric__Viễn thông,numeric__Nội dung số,numeric__Phần mềm xuất khẩu,"numeric__Dịch vụ CNTT, phần mềm và giải pháp phần mềm, tích hợp hệ thống","numeric__Đầu tư, giáo dục và khác",numeric__Loại trừ hợp nhất,numeric__Tổng cộng
Doanh thu thuần theo bộ phận,Doanh thu thuần theo bộ phận,Doanh thu thuần theo bộ phận,10.867.003(9.114.111),599.151(386.886),12.000.260(9.966.684),4.804.672(4.577.926),2.187.175(1.692.533),(627.860)512.469,29.830.401(25.225.671),,,,,,,
Chỉ phí theo bộ phận (*),Chỉ phí theo bộ phận (*),Chỉ phí theo bộ phận (*),,,,,,,,,,,,,,
Trong đó:- Tổng chi phí khấu hao TSCĐ,Chỉ phí theo bộ phận (*) > Trong đó:- Tổng chi phí khấu hao TSCĐ,Trong đó:- Tổng chi phí khấu hao TSCĐ,(1.078.906),(2.531),(278.321),(29.048),(106.126),4.325,(1.490.607),-1078906.0,-2531.0,-278321.0,-29048.0,-106126.0,4325.0,-1490607.0
- Tổng phân bổ chi phí trả trước dài hạn,Chỉ phí theo bộ phận (*) > - Tổng phân bổ chi phí trả trước dài hạn,- Tổng phân bổ chi phí trả trước dài hạn,(1.311.514),(3.539),(71.299),(31.378),(88.483),-,(1.506.213),-1311514.0,-3539.0,-71299.0,-31378.0,-88483.0,,-1506213.0
"Phần lãi trong công ty liên doanh, liên kết","Chỉ phí theo bộ phận (*) > Phần lãi trong công ty liên doanh, liên kết","Phần lãi trong công ty liên doanh, liên kết",-,-,(706),-,312.900,-,312.194,,,-706.0,,312900.0,,312194.0
Kết quả HĐKD theo bộ phận,Chỉ phí theo bộ phận (*) > Kết quả HĐKD theo bộ phận,Kết quả HĐKD theo bộ phận,1.752.892,212.265,2.032.870,226.746,807.542,(115.391),4.916.924,1752892.0,212265.0,2032870.0,226746.0,807542.0,-115391.0,4916924.0
Lợi nhuận trước thuế theo bộ phận,Chỉ phí theo bộ phận (*) > Lợi nhuận trước thuế theo bộ phận,Lợi nhuận trước thuế theo bộ phận,1.818.530,255.506,1.970.168,267.424,3.745.051,(2.793.222),5.263.457,1818530.0,255506.0,1970168.0,267424.0,3745051.0,-2793222.0,5263457.0
Tổng chi phí đã phát sinh để mua TSCĐ và các tài sản dài hạn khác,Chỉ phí theo bộ phận (*) > Tổng chi phí đã phát sinh để mua TSCĐ và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua TSCĐ và các tài sản dài hạn khác,2.324.931,2.804,827.357,75.237,1.010.402,-,4.240.731,2324931.0,2804.0,827357.0,75237.0,1010402.0,,4240731.0
Tài sản bộ phận tại 31.12.2020,Chỉ phí theo bộ phận (*) > Tài sản bộ phận tại 31.12.2020,Tài sản bộ phận tại 31.12.2020,15.588.376,1.176.326,11.619.696,5.016.824,14.507.550,(6.174.449),41.734.323,15588376.0,1176326.0,11619696.0,5016824.0,14507550.0,-6174449.0,41734323.0
Nợ phải trả bộ phận tại 31.12.2020,Chỉ phí theo bộ phận (*) > Nợ phải trả bộ phận tại 31.12.2020,Nợ phải trả bộ phận tại 31.12.2020,11.010.709,333.642,7.380.079,3.437.530,6.814.811,(5.848.115),23.128.656,11010709.0,333642.0,7380079.0,3437530.0,6814811.0,-5848115.0,23128656.0
