row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dưvốn cổ phầnVND,Vốn khác củachủ sở hữuVND,Cổ phiếuquỹVND,Chênh lệch tỷgiá hối đoaiVND,Quỹ đầu tưphát triểnVND,Quỹ khácthuộc vốnchủ sở hữuVND,LNST chưaphân phốiVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Vốn khác củachủ sở hữuVND,numeric__Cổ phiếuquỹVND,numeric__Chênh lệch tỷgiá hối đoaiVND,numeric__Quỹ đầu tưphát triểnVND,numeric__Quỹ khácthuộc vốnchủ sở hữuVND,numeric__LNST chưaphân phốiVND,numeric__Tổng cộngVND
Tại ngày 1.1.2020,Tại ngày 1.1.2020,Tại ngày 1.1.2020,6.783.586.880.000,49.941.441.360,765.332.464.859,(823.760.000),(7.773.137.062),307.526.573.229,102.985.531.790,5.960.676.956.469,13.961.452.950.645,6783586880000.0,49941441360.0,765332464859.0,-823760000.0,-7773137062.0,307526573229.0,102985531790.0,5960676956469.0,13961452950645.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,33.917.900.000,(228.227.949),-,-,-,-,-,-,33.689.672.051,33917900000.0,-228227949.0,,,,,,,33689672051.0
Lợi nhuận thuần trongnăm,Lợi nhuận thuần trongnăm,Lợi nhuận thuần trongnăm,-,-,-,-,-,-,-,3.539.673.675.225,3.539.673.675.225,,,,,,,,3539673675225.0,3539673675225.0
"Trích quỹ khenthường, phúc lợi","Trích quỹ khenthường, phúc lợi","Trích quỹ khenthường, phúc lợi",-,-,-,-,-,-,-,(311.913.047.596),(311.913.047.596),,,,,,,,-311913047596.0,-311913047596.0
Trích và sử dụng quỹđầu tư phát triển,Trích và sử dụng quỹđầu tư phát triển,Trích và sử dụng quỹđầu tư phát triển,-,-,-,-,-,134.811.709.648,-,(102.804.743.727),32.006.965.921,,,,,,134811709648.0,,-102804743727.0,32006965921.0
Chia cổ tức bằngcổ phiếu,Chia cổ tức bằngcổ phiếu,Chia cổ tức bằngcổ phiếu,1.022.370.080.000,-,131.859.930.515,-,-,-,-,(1.154.230.010.515),-,1022370080000.0,,131859930515.0,,,,,-1154230010515.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,-,-,(1.465.573.212.000),(1.465.573.212.000),,,,,,,,-1465573212000.0,-1465573212000.0
Khác,Khác,Khác,-,-,22.889.014.825,-,21.269.888.339,33.297.064,(15.782.438.766),(74.923.489.404),(46.513.727.942),,,22889014825.0,,21269888339.0,33297064.0,-15782438766.0,-74923489404.0,-46513727942.0
Tại ngày 31.12.2020,Tại ngày 31.12.2020,Tại ngày 31.12.2020,7.839.874.860.000,49.713.213.411,920.081.410.199,(823.760.000),13.496.751.277,442.371.579.941,87.203.093.024,6.390.906.128.452,15.742.823.276.304,7839874860000.0,49713213411.0,920081410199.0,-823760000.0,13496751277.0,442371579941.0,87203093024.0,6390906128452.0,15742823276304.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,52.097.680.000,-,-,-,-,-,-,-,52.097.680.000,52097680000.0,,,,,,,,52097680000.0
Lợi nhuận thuần trongnăm,Lợi nhuận thuần trongnăm,Lợi nhuận thuần trongnăm,-,-,-,-,-,-,-,4.338.147.368.639,4.338.147.368.639,,,,,,,,4338147368639.0,4338147368639.0
"Trích quỹ khenthường, phúc lợi","Trích quỹ khenthường, phúc lợi","Trích quỹ khenthường, phúc lợi",-,-,-,-,-,-,-,(397.214.792.234),(397.214.792.234),,,,,,,,-397214792234.0,-397214792234.0
Trích và sử dụng quỹđầu tư phát triển,Trích và sử dụng quỹđầu tư phát triển,Trích và sử dụng quỹđầu tư phát triển,-,-,-,-,-,128.120.045.702,-,-,128.120.045.702,,,,,,128120045702.0,,,128120045702.0
