row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm > 2021VND,Năm tài chính kết thúcngày 31 tháng 12 năm > 2020VND(Phân loại lại– Thuyết minh 37),numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm > 2021VND,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm > 2020VND(Phân loại lại– Thuyết minh 37)
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,35.671.052.233.610,29.857.306.446.210,,,35671052233610.0,29857306446210.0
02,02,02,Các khoản giảm trừ doanh thu,,13.789.688.583,26.905.919.386,,,13789688583.0,26905919386.0
10,10,10,Doanh thu thuần về bán hàng và cung cấpdịch vụ (10 = 01 - 02),26,35.657.262.545.027,29.830.400.526.824,,26.0,35657262545027.0,29830400526824.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,27,22.025.298.308.249,18.213.060.801.201,,27.0,22025298308249.0,18213060801201.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịchvụ (20 = 10 - 11),,13.631.964.236.778,11.617.339.725.623,,,13631964236778.0,11617339725623.0
21,21,21,Doanh thu hoạt động tài chính,28,1.270.789.386.267,821.896.424.782,,28.0,1270789386267.0,821896424782.0
22,22,22,Chi phí tài chính,29,1.144.187.446.845,548.165.211.617,,29.0,1144187446845.0,548165211617.0
23,23,23,- Trong đó: Chi phí lãi vay,,483.995.846.804,385.337.754.896,,,483995846804.0,385337754896.0
24,24,24,"Phần lãi trong công ty liên doanh, liên kết",5(b),686.864.681.119,312.193.572.178,,,686864681119.0,312193572178.0
25,25,25,Chi phí bán hàng,30,3.604.610.784.981,2.930.258.252.581,,30.0,3604610784981.0,2930258252581.0
26,26,26,Chi phí quản lý doanh nghiệp,31,4.612.325.935.574,4.082.351.794.454,,31.0,4612325935574.0,4082351794454.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + 21 - 22 + 24 - 25 - 26),,6.228.494.136.764,5.190.654.463.931,,,6228494136764.0,5190654463931.0
31,31,31,Thu nhập khác,,133.219.177.622,131.401.186.949,,,133219177622.0,131401186949.0
32,32,32,Chi phí khác,,24.506.873.428,58.599.020.913,,,24506873428.0,58599020913.0
40,40,40,Lợi nhuận khác (40 = 31 - 32),,108.712.304.194,72.802.166.036,,,108712304194.0,72802166036.0
50,50,50,Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),,6.337.206.440.958,5.263.456.629.967,,,6337206440958.0,5263456629967.0
51,51,51,Chi phí thuế thu nhập doanh nghiệp (“TNDN”)hiện hành,32,954.883.280.274,942.814.118.631,,32.0,954883280274.0,942814118631.0
52,52,52,Chi phí/(thu nhập) thuế TNDN hoãn lại,32,33.022.061.188,(103.102.706.262),,32.0,33022061188.0,-103102706262.0
60,60,60,Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)Phân bổ cho:,,5.349.301.099.496,4.423.745.217.598,,,5349301099496.0,4423745217598.0
61,61,61,Cổ đông của công ty mẹ,,4.337.411.879.802,3.538.007.738.822,,,4337411879802.0,3538007738822.0
62,62,62,Cổ đông không kiểm soát,,1.011.889.219.694,885.737.478.776,,,1011889219694.0,885737478776.0
70,70,70,Lãi cơ bản trên cổ phiếu,25(a),4.349,3.579,,,4349.0,3579.0
71,71,71,Lãi suy giảm trên cổ phiếu,25(b),4.349,3.579,,,4349.0,3579.0
