row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm vi tính VND,"Giấy phép, quyền khai thác, quyền phát hành và bản quyền VND",Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm vi tính VND,"numeric__Giấy phép, quyền khai thác, quyền phát hành và bản quyền VND",numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,184.265.905.099,425.285.680.351,1.121.338.361.482,306.077.684.563,2.036.967.631.495,184265905099.0,425285680351.0,1121338361482.0,306077684563.0,2036967631495.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,43.797.791.000,48.855.011.204,17.593.296.571,129.256.923,110.375.355.698,43797791000.0,48855011204.0,17593296571.0,129256923.0,110375355698.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,26.937.841.963,73.598.544.401,-,100.536.386.364,,26937841963.0,73598544401.0,,100536386364.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,(1.172.658.641),(644.061.667),-,(1.816.720.308),,-1172658641.0,-644061667.0,,-1816720308.0
Khác,Nguyên giá > Khác,Khác,(3.822.657.001),5.562.368.468,1.277.911.880,26.370.415,3.043.993.762,-3822657001.0,5562368468.0,1277911880.0,26370415.0,3043993762.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,224.241.039.098,505.468.243.345,1.213.164.052.667,306.233.311.901,2.249.106.647.011,224241039098.0,505468243345.0,1213164052667.0,306233311901.0,2249106647011.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,(11.487.700.456),(350.766.617.763),(540.510.443.547),(38.833.865.497),(941.598.627.263),-11487700456.0,-350766617763.0,-540510443547.0,-38833865497.0,-941598627263.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(1.471.376.225),(51.515.298.408),(104.273.429.650),(15.304.923.768),(172.565.028.051),-1471376225.0,-51515298408.0,-104273429650.0,-15304923768.0,-172565028051.0
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,1.172.658.641,644.061.667,-,1.816.720.308,,1172658641.0,644061667.0,,1816720308.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,914.158.274,(4.435.104.467),(242.648.165),63.940.200,(3.699.654.158),914158274.0,-4435104467.0,-242648165.0,63940200.0,-3699654158.0
Tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,(12.044.918.407),(405.544.361.997),(644.382.459.695),(54.074.849.065),(1.116.046.589.164),-12044918407.0,-405544361997.0,-644382459695.0,-54074849065.0,-1116046589164.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,172.778.204.643,74.519.062.588,580.827.917.935,267.243.819.066,1.095.369.004.232,172778204643.0,74519062588.0,580827917935.0,267243819066.0,1095369004232.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,212.196.120.691,99.923.881.348,568.781.592.972,252.158.462.836,1.133.060.057.847,212196120691.0,99923881348.0,568781592972.0,252158462836.0,1133060057847.0
