row_label_raw,row_label_full,STT,Công ty,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Quyền sở hữu,Quyền biểu quyết,numeric__Công ty,numeric__Hoạt động chính,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Quyền sở hữu,numeric__Quyền biểu quyết
37,37,37,Công ty Cổ phần Dịch vụ Gate,"Phân phối thể trả trước: thể game, thể viễn thông",Việt Nam,"29,71%",60%,,,,0.29710000000000003,0.6
38,38,38,Công ty TNHH Bất động sản FPT,"Tư vấn, môi giới, dấu giá bắt động sản, dấu giá quyền sử dụng đất",Việt Nam,100%,100%,,,,1.0,1.0
39,39,39,Công ty Cổ phần An toàn Thông tin Cyradar,Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính,Việt Nam,"77,78%","77,78%",,,,0.7778,0.7778
40,40,40,Công ty Cổ phần Công nghệ UTOP,Lập trình máy vi tính,Việt Nam,"54,67%","54,67%",,,,0.5467,0.5467
41,41,41,Trường Trung học phổ thông FPT,"Giáo dục, đào tạo",Việt Nam,100%,100%,,,,1.0,1.0
42,42,42,Công ty TNHH Sáng tạo Công nghệ FPT Toàn cầu,"Giáo dục, đào tạo",Việt Nam,100%,100%,,,,1.0,1.0
43,43,43,Trường Tiểu học và Trung học cơ sở FPT,"Giáo dục, đào tạo",Việt Nam,100%,100%,,,,1.0,1.0
44,44,44,Trường Trung học Phổ thông FPT (Đà Nẵng),"Giáo dục, đào tạo",Việt Nam,100%,100%,,,,1.0,1.0
45,45,45,Trường Trung học Phổ thông FPT,"Giáo dục, đào tạo",Việt Nam,100%,100%,,,,1.0,1.0
46,46,46,Trường Đại học FPT,"Giáo dục, đào tạo",Việt Nam,100%,100%,,,,1.0,1.0
47,47,47,Công ty TNHH Đầu tư Thang Sang,"Giáo dục, đào tạo",Việt Nam,100%,100%,,,,1.0,1.0
48,48,48,Trường Cao đẳng FPT Polytechnic,"Giáo dục, đào tạo",Việt Nam,100%,100%,,,,1.0,1.0
49,49,49,Trường Tiểu học và Trung học cơ sở FPT Cầu Giấy,"Giáo dục, đào tạo",Việt Nam,100%,100%,,,,1.0,1.0
50,50,50,Công ty TNHH Thương mại và Dịch vụ Trung tâm Lợi,"Giáo dục, đào tạo",Việt Nam,100%,100%,,,,1.0,1.0
51,51,51,Trường THPT FPT tại Bình Định,"Giáo dục, đào tạo",Việt Nam,100%,100%,,,,1.0,1.0
52,52,52,Công ty Cổ phần Giáo dục Trực tuyến UNIX,"Giáo dục, đào tạo",Việt Nam,,,,,,,
53,52 > 53,53,Công ty Base Platform Pte,Sản xuất phần mềm,Singapore,80%,80%,,,,0.8,0.8
54,52 > 54,54,Công ty Cổ phần Base Enterprise,Sản xuất phần mềm,Việt Nam,"79,99%","99,98%",,,,0.7998999999999999,0.9998
55,52 > 55,55,Công ty Cổ phần Quốc tế Telehouse Vietnam,Kinh doanh dịch vụ trung tâm dữ liệu,Việt Nam,51%,51%,,,,0.51,0.51
56,52 > 56,56,Công ty TNHH Hệ thống Thông tin Campuchia,"Tích hợp hệ thống, dịch vụ và giải pháp phần mềm",Campuchia,100%,100%,,,,1.0,1.0
57,52 > 57,57,Công ty TNHH MTV Giải pháp Công nghệ FPT,"Tích hợp hệ thống, dịch vụ và giải pháp phần mềm",Việt Nam,100%,100%,,,,1.0,1.0
58,52 > 58,58,Công ty TNHH MTV Viễn thông FPT Tân Thuận,Cung cấp dịch vụ internet tốc độ cao và các dịch vụ viễn thông khác,Việt Nam,"45,65%",100%,,,,0.45649999999999996,1.0
59,52 > 59,59,Công ty TNHH MTV Viễn thông Quốc tế FPT,"Cung cấp dịch vụ internet, đại lý cung cấp dịch vụ viễn thông và các dịch vụ khác",Việt Nam,"45,65%",100%,,,,0.45649999999999996,1.0
60,52 > 60,60,Công ty CP Công nghệ Viễn thông FPT,Cung cấp các dịch vụ internet tốc độ cao và các dịch vụ viễn thông khác,Việt Nam,"45,65%","99,999%",,,,0.45649999999999996,0.9999899999999999
61,52 > 61,61,Công ty TNHH Truyền hình FPT,"Sản xuất, phát hành phim điện ảnh, hoạt động viễn thông không dây, lập trình máy vi tính",Việt Nam,"45,65%",100%,,,,0.45649999999999996,1.0
