row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2021VND,2020VND,,,,
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
31,Mãsố > 31,31,Tiền thu từ phát hành cổ phiếu,,87.611.404.675,59.633.580.760,,,87611404675.0,59633580760.0
33,Mãsố > 33,33,Tiền thu đi vay,,34.463.706.577.011,20.448.570.691.368,,,34463706577011.0,20448570691368.0
34,Mãsố > 34,34,Tiền chỉ trả nợ gốc vay,,(26.931.165.232.996),(15.570.014.545.746),,,-26931165232996.0,-15570014545746.0
35,Mãsố > 35,35,Tiền chỉ trả nợ gốc thuê tài chính,,(1.306.368.312),(1.753.793.420),,,-1306368312.0,-1753793420.0
36,Mãsố > 36,36,"Tiền cổ tức, lợi nhuận đã trả cho chủ sở hữu",,(2.254.183.945.975),(1.899.079.382.925),,,-2254183945975.0,-1899079382925.0
40,Mãsố > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,5.364.662.434.403,3.037.356.550.037,,,5364662434403.0,3037356550037.0
50,Mãsố > 50,50,Lưu chuyển tiền thuần trong năm,,791.465.872.799,1.232.911.296.289,,,791465872799.0,1232911296289.0
60,Mãsố > 60,60,Tiền và tương đương tiền đầu năm,4,4.686.191.374.038,3.453.388.617.569,,4.0,4686191374038.0,3453388617569.0
61,Mãsố > 61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,(59.811.953.595),(108.539.820),,,-59811953595.0,-108539820.0
70,Mãsố > 70,70,Tiền và tương đương tiền cuối năm,4,5.417.845.293.242,4.686.191.374.038,,4.0,5417845293242.0,4686191374038.0
