row_label_raw,row_label_full,Mãsố,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm > 2021VND,Năm tài chính kết thúcngày 31 tháng 12 năm > 2020VND(Phân loại lại– Thuyết minh 37),numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm > 2021VND,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm > 2020VND(Phân loại lại– Thuyết minh 37)
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận kế toàn trước thuếĐiều chỉnh cho các khoản:,6.337.206.440.958,5.263.456.629.967,,6337206440958.0,5263456629967.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,"Khấu hao tài sản cố định (""TSCĐ"") và phân bổ lợi thế thương mại",1.643.915.685.332,1.490.607.476.892,,1643915685332.0,1490607476892.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Các khoản dự phòng,352.207.924.154,313.851.138.486,,352207924154.0,313851138486.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(63.913.432.668),(3.386.721.059),,-63913432668.0,-3386721059.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Lãi từ hoạt động đầu tư,(1.700.489.438.802),(1.039.617.856.401),,-1700489438802.0,-1039617856401.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,Chi phí lãi vay,483.995.846.804,385.337.754.896,,483995846804.0,385337754896.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,7.052.923.025.778,6.410.248.422.781,,7052923025778.0,6410248422781.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,(Tăng)/giảm các khoản phải thu,(693.503.200.106),311.571.475.172,,-693503200106.0,311571475172.0
10,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,Tăng hàng tồn kho,(218.231.826.239),(55.124.600.922),,-218231826239.0,-55124600922.0
11,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,Tăng các khoản phải trả,1.910.090.001.449,1.060.519.849.887,,1910090001449.0,1060519849887.0
12,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,(Tăng)/giảm chi phí trả trước,(375.543.134.134),51.528.448.148,,-375543134134.0,51528448148.0
14,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 14,14,Tiền lãi vay đã trả,(451.555.665.838),(401.913.784.732),,-451555665838.0,-401913784732.0
15,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 15,15,Thuế TNDN đã nộp,(1.045.034.654.569),(778.286.928.782),,-1045034654569.0,-778286928782.0
17,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 17,17,Tiền chi khác từ hoạt động kinh doanh,(339.450.991.614),(258.863.848.216),,-339450991614.0,-258863848216.0
20,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,5.839.693.554.727,6.339.679.033.336,,5839693554727.0,6339679033336.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
21,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 21,21,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",(2.911.001.172.725),(3.017.645.357.713),,-2911001172725.0,-3017645357713.0
22,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 22,22,"Tiền thu từ thanh lý, nhượng bán TSCĐ và tài sản dài hạn khác",2.866.890.285,3.323.070.810,,2866890285.0,3323070810.0
23,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",(35.827.118.645.179),(21.325.958.735.502),,-35827118645179.0,-21325958735502.0
24,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 24,24,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",27.590.009.509.475,15.371.867.413.763,,27590009509475.0,15371867413763.0
25,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,(450.878.532.336),(101.172.751.758),,-450878532336.0,-101172751758.0
26,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,420.000.000,31.000.000.000,,420000000.0,31000000000.0
27,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 27,27,"Tiền thu lãi cho vay, có tức và lợi nhuận được chia",1.182.811.834.149,894.462.073.316,,1182811834149.0,894462073316.0
30,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,(10.412.890.116.331),(8.144.124.287.084),,-10412890116331.0,-8144124287084.0
