row_label_raw,row_label_full,TÀI SẢN CỔ ĐỊNH,TÀI SẢN CỔ ĐỊNH_1,TÀI SẢN CỔ ĐỊNH_2,TÀI SẢN CỔ ĐỊNH_3,TÀI SẢN CỔ ĐỊNH_4,TÀI SẢN CỔ ĐỊNH_5,TÀI SẢN CỔ ĐỊNH_6,numeric__TÀI SẢN CỔ ĐỊNH_1,numeric__TÀI SẢN CỔ ĐỊNH_2,numeric__TÀI SẢN CỔ ĐỊNH_3,numeric__TÀI SẢN CỔ ĐỊNH_4,numeric__TÀI SẢN CỔ ĐỊNH_5,numeric__TÀI SẢN CỔ ĐỊNH_6
,,,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,3.160.000.058.025,8.946.345.707.791,89.014.958.416,669.091.345.219,81.118.267.824,12.945.570.337.275,3160000058025.0,8946345707791.0,89014958416.0,669091345219.0,81118267824.0,12945570337275.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,40.734.695.287,1.225.875.270.957,7.249.566.309,98.809.586.334,3.391.408.596,1.376.060.527.483,40734695287.0,1225875270957.0,7249566309.0,98809586334.0,3391408596.0,1376060527483.0
Chuyển từ xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,1.820.422.901.037,408.624.852.440,-,12.549.529.831,11.804.169.000,2.253.401.452.308,1820422901037.0,408624852440.0,,12549529831.0,11804169000.0,2253401452308.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",(34.485.440),(10.862.161.262),(7.624.511.814),(7.487.580.425),(5.077.624.891),(31.086.363.832),-34485440.0,-10862161262.0,-7624511814.0,-7487580425.0,-5077624891.0,-31086363832.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(12.936.279.580),142.848.600.788,(3.394.772.780),(133.308.090.388),6.790.541.960,-,-12936279580.0,142848600788.0,-3394772780.0,-133308090388.0,6790541960.0,
Khác (*),Nguyên giá > Khác (*),Khác (*),48.580.151.904,(435.995.518.241),1.925.607.928,(69.826.665.721),(7.801.812.936),(463.118.237.066),48580151904.0,-435995518241.0,1925607928.0,-69826665721.0,-7801812936.0,-463118237066.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,5.056.767.041.233,10.276.836.752.473,87.170.848.059,569.828.124.850,90.224.949.553,16.080.827.716.168,5056767041233.0,10276836752473.0,87170848059.0,569828124850.0,90224949553.0,16080827716168.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,(547.988.237.414),(4.567.913.738.408),(47.194.283.281),(545.061.491.345),(17.860.961.062),(5.726.018.711.510),-547988237414.0,-4567913738408.0,-47194283281.0,-545061491345.0,-17860961062.0,-5726018711510.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(174.138.506.514),(1.167.014.434.281),(10.480.830.565),(38.280.319.063),(8.071.734.931),(1.397.985.825.354),-174138506514.0,-1167014434281.0,-10480830565.0,-38280319063.0,-8071734931.0,-1397985825354.0
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",34.485.440,10.439.034.752,6.901.340.322,7.084.715.260,5.067.395.459,29.526.971.233,34485440.0,10439034752.0,6901340322.0,7084715260.0,5067395459.0,29526971233.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,10.738.756.912,(97.980.977.241),(699.160.238),91.846.149.968,(3.904.769.401),-,10738756912.0,-97980977241.0,-699160238.0,91846149968.0,-3904769401.0,
Khác (*),Giá trị khấu hao lũy kế > Khác (*),Khác (*),(9.086.469.000),243.948.314.808,(2.335.092.624),38.572.556.039,3.485.239.303,274.584.548.526,-9086469000.0,243948314808.0,-2335092624.0,38572556039.0,3485239303.0,274584548526.0
Tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,(720.439.970.576),(5.578.521.800.370),(53.808.026.386),(445.838.389.141),(21.284.830.632),(6.819.893.017.105),-720439970576.0,-5578521800370.0,-53808026386.0,-445838389141.0,-21284830632.0,-6819893017105.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,2.612.011.820.611,4.378.431.969.383,41.820.675.135,124.029.853.874,63.257.306.762,7.219.551.625.765,2612011820611.0,4378431969383.0,41820675135.0,124029853874.0,63257306762.0,7219551625765.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,4.336.327.070.657,4.698.314.952.103,33.362.821.673,123.989.735.709,68.940.118.921,9.260.934.699.063,4336327070657.0,4698314952103.0,33362821673.0,123989735709.0,68940118921.0,9260934699063.0
