row_label_raw,row_label_full,col_0,col_1,Tại ngày 1 tháng 1 năm 2021 > Giá trị VND,Tại ngày 1 tháng 1 năm 2021 > Số có khả năng trả nợ VND,Phát sinh trong năm > Tăng VND,Phát sinh trong năm > Giảm VND,Phát sinh trong năm > Chênh lệch tỷ giá hối đoái VND,Tại ngày 31 tháng 12 năm 2021 > Giá trị VND,Tại ngày 31 tháng 12 năm 2021 > Số có khả năng trả nợ VND,numeric__col_1,numeric__Tại ngày 1 tháng 1 năm 2021 > Giá trị VND,numeric__Tại ngày 1 tháng 1 năm 2021 > Số có khả năng trả nợ VND,numeric__Phát sinh trong năm > Tăng VND,numeric__Phát sinh trong năm > Giảm VND,numeric__Phát sinh trong năm > Chênh lệch tỷ giá hối đoái VND,numeric__Tại ngày 31 tháng 12 năm 2021 > Giá trị VND,numeric__Tại ngày 31 tháng 12 năm 2021 > Số có khả năng trả nợ VND
(a),(a),(a),Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,,
(a),(a),(a),Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,,
(a),(a) > (a),(a),Vay ngân hàng (i),10.720.885.168.015,10.720.885.168.015,24.266.975.324.237,(19.023.130.575.700),(103.303.140.185),15.861.426.776.367,15.861.426.776.367,,10720885168015.0,10720885168015.0,24266975324237.0,-19023130575700.0,-103303140185.0,15861426776367.0,15861426776367.0
(a),(a) > (a),(a),Vay bên liên quan (Thuyết minh 35(a) và (b)) (ii),845.000.000.000,845.000.000.000,8.050.000.000.000,(7.375.000.000.000),-,1.520.000.000.000,1.520.000.000.000,,845000000000.0,845000000000.0,8050000000000.0,-7375000000000.0,,1520000000000.0,1520000000000.0
(a),(a),(a),Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,,,,,,,,
(a),(a) > (a),(a),Vay ngân hàng (iii),495.589.576.655,495.589.576.655,476.650.180.718,(533.034.657.296),(22.580.728.126),416.624.371.951,416.624.371.951,,495589576655.0,495589576655.0,476650180718.0,-533034657296.0,-22580728126.0,416624371951.0,416624371951.0
(a),(a) > (a),(a),Nợ thuê tài chính,935.448.070,935.448.070,1.848.124.858,(1.306.368.312),(87.165.157),1.390.039.459,1.390.039.459,,935448070.0,935448070.0,1848124858.0,-1306368312.0,-87165157.0,1390039459.0,1390039459.0
(a),(a) > (a),(a),,12.062.410.192.740,12.062.410.192.740,32.795.473.629.813,(26.932.471.601.308),(125.971.033.468),17.799.441.187.777,17.799.441.187.777,,12062410192740.0,12062410192740.0,32795473629813.0,-26932471601308.0,-125971033468.0,17799441187777.0,17799441187777.0
(b),(b),(b),Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,,,,,
(b),(b) > (b),(b),Vay ngân hàng (iii),675.785.261.200,675.785.261.200,2.137.242.726.299,(476.650.180.718),(44.083.972.234),2.292.293.834.547,2.292.293.834.547,,675785261200.0,675785261200.0,2137242726299.0,-476650180718.0,-44083972234.0,2292293834547.0,2292293834547.0
(b),(b) > (b),(b),Nợ thuê tài chính,2.011.652.213,2.011.652.213,9.488.526.475,(1.848.124.858),(5.637.395.331),4.014.658.499,4.014.658.499,,2011652213.0,2011652213.0,9488526475.0,-1848124858.0,-5637395331.0,4014658499.0,4014658499.0
(b),(b) > (b),(b),,677.796.913.413,677.796.913.413,2.146.731.252.774,(478.498.305.576),(49.721.367.565),2.296.308.493.046,2.296.308.493.046,,677796913413.0,677796913413.0,2146731252774.0,-478498305576.0,-49721367565.0,2296308493046.0,2296308493046.0
