row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,3.998.873.000.000,292.399.641.421,15.781.800.630,1.106.567.952.233,5.413.622.394.284,3998873000000.0,292399641421.0,15781800630.0,1106567952233.0,5413622394284.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,10.510.000.000,(130.000.000),-,-,10.380.000.000,10510000000.0,-130000000.0,,,10380000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,35.129.067.922,35.129.067.922,,,,35129067922.0,35129067922.0
Cổ tức (*),Cổ tức (*),Cổ tức (*),-,-,-,(300.703.725.000),(300.703.725.000),,,,-300703725000.0,-300703725000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,77.552.130.941,(77.552.130.941),-,,,77552130941.0,-77552130941.0,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20)",-,-,-,(19.388.032.735),(19.388.032.735),,,,-19388032735.0,-19388032735.0
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,(31.076.874.082),-,(31.076.874.082),,,-31076874082.0,,-31076874082.0
Tăng khác,Tăng khác,Tăng khác,-,-,335.926.163,-,335.926.163,,,335926163.0,,335926163.0
Các điều chỉnh khác,Các điều chỉnh khác,Các điều chỉnh khác,-,-,-,(13.862.746.627),(13.862.746.627),,,,-13862746627.0,-13862746627.0
Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,4.009.383.000.000,292.269.641.421,62.592.983.652,730.190.384.852,5.094.436.009.925,4009383000000.0,292269641421.0,62592983652.0,730190384852.0,5094436009925.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,1.547.000.000,(126.555.556),-,-,1.420.444.444,1547000000.0,-126555556.0,,,1420444444.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,317.975.512.629,317.975.512.629,,,,317975512629.0,317975512629.0
Cổ tức (*),Cổ tức (*),Cổ tức (*),-,-,-,(100.273.250.000),(100.273.250.000),,,,-100273250000.0,-100273250000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,35.441.227.638,(35.441.227.638),-,,,35441227638.0,-35441227638.0,
Hoàn nhập quỹ đầu tư phát triển (**),Hoàn nhập quỹ đầu tư phát triển (**),Hoàn nhập quỹ đầu tư phát triển (**),-,-,(62.592.983.652),62.592.983.652,-,,,-62592983652.0,62592983652.0,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20)",-,-,-,(13.889.769.390),(13.889.769.390),,,,-13889769390.0,-13889769390.0
"Hoàn nhập quỹ khen thưởng, phúc lợi (Thuyết minh 20) (**)","Hoàn nhập quỹ khen thưởng, phúc lợi (Thuyết minh 20) (**)","Hoàn nhập quỹ khen thưởng, phúc lợi (Thuyết minh 20) (**)",-,-,-,45.535.986.559,45.535.986.559,,,,45535986559.0,45535986559.0
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,(33.825.179.403),-,(33.825.179.403),,,-33825179403.0,,-33825179403.0
Các điều chỉnh khác,Các điều chỉnh khác,Các điều chỉnh khác,-,-,-,(3.313.817.272),(3.313.817.272),,,,-3313817272.0,-3313817272.0
Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,4.010.930.000.000,292.143.085.865,1.616.048.235,1.003.376.803.392,5.308.065.937.492,4010930000000.0,292143085865.0,1616048235.0,1003376803392.0,5308065937492.0
