row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụvà dụng cụVND,TổngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụvà dụng cụVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,20.543.261.900,13.034.325.864,33.577.587.764,20543261900.0,13034325864.0,33577587764.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,3.805.290.226,3.805.290.226,,3805290226.0,3805290226.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(491.342.905),(8.411.507.407),(8.902.850.312),-491342905.0,-8411507407.0,-8902850312.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,20.051.918.995,8.428.108.683,28.480.027.678,20051918995.0,8428108683.0,28480027678.0
