row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,198.303.234.036,320.455.917.659,94.274.327.767,21.018.255.690,634.051.735.152,198303234036.0,320455917659.0,94274327767.0,21018255690.0,634051735152.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.023.983.886,10.062.425.042,8.349.000.000,2.532.867.900,21.968.276.828,1023983886.0,10062425042.0,8349000000.0,2532867900.0,21968276828.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,1.087.467.616,8.509.774.746,-,-,9.597.242.362,1087467616.0,8509774746.0,,,9597242362.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(7.972.233.234),(3.738.639.909),-,(11.710.873.143),,-7972233234.0,-3738639909.0,,-11710873143.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,200.414.685.538,331.055.884.213,98.884.687.858,23.551.123.590,653.906.381.199,200414685538.0,331055884213.0,98884687858.0,23551123590.0,653906381199.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,110.875.510.177,253.131.053.818,55.284.109.898,16.881.029.410,436.171.703.303,110875510177.0,253131053818.0,55284109898.0,16881029410.0,436171703303.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.894.819.724,18.767.354.159,6.770.439.907,1.137.657.159,35.570.270.949,8894819724.0,18767354159.0,6770439907.0,1137657159.0,35570270949.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(7.907.511.831),(2.250.124.636),-,(10.157.636.467),,-7907511831.0,-2250124636.0,,-10157636467.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,119.770.329.901,263.990.896.146,59.804.425.169,18.018.686.569,461.584.337.785,119770329901.0,263990896146.0,59804425169.0,18018686569.0,461584337785.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,87.427.723.859,67.324.863.841,38.990.217.869,4.137.226.280,197.880.031.849,87427723859.0,67324863841.0,38990217869.0,4137226280.0,197880031849.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,80.644.355.637,67.064.988.067,39.080.262.689,5.532.437.021,192.322.043.414,80644355637.0,67064988067.0,39080262689.0,5532437021.0,192322043414.0
