row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch quy đổi tiền tệ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch quy đổi tiền tệ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,14.514.534.290.000,260.699.620.761,(7.159.821.800),18.367.457.133,2.851.905.410.228,5.736.920.629.462,497.790.228.077,23.873.057.813.861,14514534290000.0,260699620761.0,-7159821800.0,18367457133.0,2851905410228.0,5736920629462.0,497790228077.0,23873057813861.0
Tăng vốn từ cổ phiếu thường,Tăng vốn từ cổ phiếu thường,Tăng vốn từ cổ phiếu thường,2.902.343.640.000,(260.699.620.761),-,-,(2.641.644.019.239),-,-,-,2902343640000.0,-260699620761.0,,,-2641644019239.0,,,
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(3.325.885.560),-,-,-,-,(3.325.885.560),,,-3325885560.0,,,,,-3325885560.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,10.227.281.151.464,(21.651.440.225),10.205.629.711.239,,,,,,10227281151464.0,-21651440225.0,10205629711239.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,-,-,981.410.982.604,(981.410.982.604),-,-,,,,,981410982604.0,-981410982604.0,,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.21),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.21),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.21),-,-,-,-,-,(1.006.694.001.566),-,(1.006.694.001.566),,,,,,-1006694001566.0,,-1006694001566.0
Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,-,-,-,-,14.095.761.802,14.095.761.802,,,,,,,14095761802.0,14095761802.0
Cổ tức (Thuyết minh V.24),Cổ tức (Thuyết minh V.24),Cổ tức (Thuyết minh V.24),-,-,-,-,-,(6.820.662.482.500),-,(6.820.662.482.500),,,,,,-6820662482500.0,,-6820662482500.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,9.268.374.651,-,-,-,9.268.374.651,,,,9268374651.0,,,,9268374651.0
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,17.416.877.930.000,-,(10.485.707.360),27.635.831.784,1.191.672.373.593,7.155.434.314.256,490.234.549.654,26.271.369.291.927,17416877930000.0,,-10485707360.0,27635831784.0,1191672373593.0,7155434314256.0,490234549654.0,26271369291927.0
Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,-,-,-,-,1.671.828.944.895,1.671.828.944.895,,,,,,,1671828944895.0,1671828944895.0
Tăng vốn,Tăng vốn,Tăng vốn,-,-,-,-,-,-,127.768.725.000,127.768.725.000,,,,,,,127768725000.0,127768725000.0
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(1.159.248.760),-,-,-,-,(1.159.248.760),,,-1159248760.0,,,,,-1159248760.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,10.581.175.671.989,(26.843.791.098),10.554.331.880.891,,,,,,10581175671989.0,-26843791098.0,10554331880891.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,-,-,1.008.515.999.602,(1.008.515.999.602),-,-,,,,,1008515999602.0,-1008515999602.0,,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.21),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.21),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.21),-,-,-,-,-,(1.042.687.225.216),-,(1.042.687.225.216),,,,,,-1042687225216.0,,-1042687225216.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,-,-,-,26.276.249.997,(35.791.467.980),(9.515.217.983),,,,,,26276249997.0,-35791467980.0,-9515217983.0
Cổ tức (Thuyết minh V.24),Cổ tức (Thuyết minh V.24),Cổ tức (Thuyết minh V.24),-,-,-,-,-,(7.836.220.609.500),-,(7.836.220.609.500),,,,,,-7836220609500.0,,-7836220609500.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,(4.461.336.890),-,-,-,(4.461.336.890),,,,-4461336890.0,,,,-4461336890.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,17.416.877.930.000,-,(11.644.956.120),23.174.494.894,2.200.188.373.195,7.875.462.401.924,2.227.196.960.471,29.731.255.204.364,17416877930000.0,,-11644956120.0,23174494894.0,2200188373195.0,7875462401924.0,2227196960471.0,29731255204364.0
