row_label_raw,row_label_full,Tiền chi mua cổ phiếu quỹ,32,(1.159.248.760),(3.325.885.560),numeric__32,numeric__(1.159.248.760),numeric__(3.325.885.560)
Tiền thu từ góp vốn của cổ đông không kiểm soát,Tiền thu từ góp vốn của cổ đông không kiểm soát,Tiền thu từ góp vốn của cổ đông không kiểm soát,32,127.768.725.000,-,32.0,127768725000.0,
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,10.426.775.268.658,4.827.980.040.068,33.0,10426775268658.0,4827980040068.0
Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,34,(6.233.112.646.051),(4.103.588.818.554),34.0,-6233112646051.0,-4103588818554.0
Tiền chi trả cổ tức,Tiền chi trả cổ tức,Tiền chi trả cổ tức,36,(7.836.250.770.500),(7.256.172.407.500),36.0,-7836250770500.0,-7256172407500.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(3.515.978.671.653),(6.535.107.071.546),40.0,-3515978671653.0,-6535107071546.0
