row_label_raw,row_label_full,Bên cho vay > Ngân hàng HSBC Mỹ,Thuyết minh > (i),Loại tiền > USD,"Lãi suất năm > 4,11%",Năm đáo hạn > 2020,31/12/2019 VND > 138.720.000.000,1/1/2019 VND > -,numeric__Thuyết minh > (i),numeric__Loại tiền > USD,"numeric__Lãi suất năm > 4,11%",numeric__Năm đáo hạn > 2020,numeric__31/12/2019 VND > 138.720.000.000,numeric__1/1/2019 VND > -
Các cá nhân,Các cá nhân,Các cá nhân,(ii),VND,"5,40%",2039,5.080.982.893,7.493.919.361,,,0.054000000000000006,2039.0,5080982893.0,7493919361.0
"Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố Hồ Chí Minh","Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố Hồ Chí Minh","Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố Hồ Chí Minh",,USD,"4,33%",2020,-,266.167.500.000,,,0.0433,2020.0,,266167500000.0
,,,,,,,143.800.982.893,273.661.419.361,,,,,143800982893.0,273661419361.0
