row_label_raw,row_label_full,Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \) > Tiền và các khoản tương đương tiền đầu năm,Mã số > 50 > 60,Thuyết minh,2019 VND > 1.146.075.017.869 > 1.522.610.167.671,2018 VND > 559.987.324.919 > 963.335.914.164,numeric__Mã số > 50 > 60,numeric__Thuyết minh,numeric__2019 VND > 1.146.075.017.869 > 1.522.610.167.671,numeric__2018 VND > 559.987.324.919 > 963.335.914.164
Ảnh hưởng của thay đổi tỷ giá đối với tiền và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá đối với tiền và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá đối với tiền và các khoản tương đương tiền,61,,(1.895.678.528),(1.230.025.973),61.0,,-1895678528.0,-1230025973.0
Chênh lệch do quy đổi tiền tệ,Chênh lệch do quy đổi tiền tệ,Chênh lệch do quy đổi tiền tệ,62,,(1.594.868.560),516.954.561,62.0,,-1594868560.0,516954561.0
Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61 + 62) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61 + 62) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61 + 62) \),70,V.2,2.665.194.638.452,1.522.610.167.671,70.0,,2665194638452.0,1522610167671.0
