row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Gia súc VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Gia súc VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.495.227.310.593,15.705.241.140.444,1.091.063.924.291,645.341.744.810,999.183.103.832,16.303.226.342,22.952.360.450.312,4495227310593.0,15705241140444.0,1091063924291.0,645341744810.0,999183103832.0,16303226342.0,22952360450312.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,39.848.213.040,434.467.589.924,57.566.803.880,60.123.121.833,27.585.774.385,1.045.327.800,620.636.830.862,39848213040.0,434467589924.0,57566803880.0,60123121833.0,27585774385.0,1045327800.0,620636830862.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,-,-,-,399.741.923.305,-,399.741.923.305,,,,,399741923305.0,,399741923305.0
Chuyển từ bất động sản đầu tư,Nguyên giá > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,63.784.035.554,2.055.143.625,-,-,-,-,65.839.179.179,63784035554.0,2055143625.0,,,,,65839179179.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,269.949.632.767,934.347.517.986,44.886.244.275,4.228.936.612,-,-,1.253.412.331.640,269949632767.0,934347517986.0,44886244275.0,4228936612.0,,,1253412331640.0
Tăng do hợp nhất kinh doanh,Nguyên giá > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,367.881.793.205,766.598.218.652,75.923.735.627,1.376.063.180,77.942.312.860,6.369.163.924,1.296.091.287.448,367881793205.0,766598218652.0,75923735627.0,1376063180.0,77942312860.0,6369163924.0,1296091287448.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,-,-,-,173.835.000,-,173.835.000,,,,,173835000.0,,173835000.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(413.790.650),1.003.020.970,(64.200.000),(525.030.320),-,-,-,-413790650.0,1003020970.0,-64200000.0,-525030320.0,,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(16.609.811.323),(24.776.227.449),(51.994.352.272),(5.490.189.788),(254.200.546.439),(4.142.006.468),(357.213.133.739),-16609811323.0,-24776227449.0,-51994352272.0,-5490189788.0,-254200546439.0,-4142006468.0,-357213133739.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(20.848.514),(416.763.618),-,(39.849.935),(1.591.617.094),-,(2.069.079.161),-20848514.0,-416763618.0,,-39849935.0,-1591617094.0,,-2069079161.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(215.592.352),(1.167.481.049),(28.758.023),(38.744.545),(82.539.354),(4.355.274),(1.537.470.597),-215592352.0,-1167481049.0,-28758023.0,-38744545.0,-82539354.0,-4355274.0,-1537470597.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.219.430.942.320,17.817.352.159.485,1.217.353.397.778,704.976.051.847,1.248.752.246.495,19.571.356.324,26.227.436.154.249,5219430942320.0,17817352159485.0,1217353397778.0,704976051847.0,1248752246495.0,19571356324.0,26227436154249.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.440.392.325.920,7.137.290.803.408,555.678.581.045,454.853.028.048,314.811.353.523,1.562.926.932,9.904.589.018.876,1440392325920.0,7137290803408.0,555678581045.0,454853028048.0,314811353523.0,1562926932.0,9904589018876.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,234.457.783.661,1.354.352.491.506,100.820.960.797,55.652.219.611,177.148.385.798,632.283.706,1.923.064.125.079,234457783661.0,1354352491506.0,100820960797.0,55652219611.0,177148385798.0,632283706.0,1923064125079.0
Chuyển từ bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,39.325.113.984,1.894.488.466,-,-,-,-,41.219.602.450,39325113984.0,1894488466.0,,,,,41219602450.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,-,-,-,-,32.561.845,-,32.561.845,,,,,32561845.0,,32561845.0
Tăng do hợp nhất kinh doanh,Giá trị hao mòn lũy kế > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,218.410.160.374,508.457.152.344,53.707.871.005,994.318.547,31.471.586.394,5.255.381.471,818.296.470.135,218410160374.0,508457152344.0,53707871005.0,994318547.0,31471586394.0,5255381471.0,818296470135.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(35.949.100),109.223.797,(52.965.000),(20.309.697),-,-,-,-35949100.0,109223797.0,-52965000.0,-20309697.0,,,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(12.462.677.195),(20.795.062.107),(48.464.164.103),(5.479.562.755),(114.412.251.765),(550.722.445),(202.164.440.370),-12462677195.0,-20795062107.0,-48464164103.0,-5479562755.0,-114412251765.0,-550722445.0,-202164440370.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(20.848.513),-,(33.617.371),(201.092.328),(444.614.407),-,(700.172.619),-20848513.0,,-33617371.0,-201092328.0,-444614407.0,,-700172619.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(91.918.360),(635.783.982),(1.709.269),(32.888.372),(46.869.822),(1.459.943),(810.629.748),-91918360.0,-635783982.0,-1709269.0,-32888372.0,-46869822.0,-1459943.0,-810629748.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.919.973.990.771,8.980.673.313.432,661.654.957.104,505.765.713.054,408.560.151.566,6.898.409.721,12.483.526.535.648,1919973990771.0,8980673313432.0,661654957104.0,505765713054.0,408560151566.0,6898409721.0,12483526535648.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.054.834.984.673,8.567.950.337.036,535.385.343.246,190.488.716.762,684.371.750.309,14.740.299.410,13.047.771.431.436,3054834984673.0,8567950337036.0,535385343246.0,190488716762.0,684371750309.0,14740299410.0,13047771431436.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.299.456.951.549,8.836.678.846.053,555.698.440.674,199.210.338.793,840.192.094.929,12.672.946.603,13.743.909.618.601,3299456951549.0,8836678846053.0,555698440674.0,199210338793.0,840192094929.0,12672946603.0,13743909618601.0
