row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Thương hiệu VND,Vùng nguyên liệu VND,Phần mềm máy vi tính VND,Tài sản cố định vô hình khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Thương hiệu VND,numeric__Vùng nguyên liệu VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,275.787.746.133,-,-,149.557.040.259,50.224.650.000,475.569.436.392,275787746133.0,,,149557040259.0,50224650000.0,475569436392.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,154.390.500.600,-,-,778.078.240,-,155.168.578.840,154390500600.0,,,778078240.0,,155168578840.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,-,1.796.970.000,-,1.796.970.000,,,,1796970000.0,,1796970000.0
Tăng do hợp nhất kinh doanh,Nguyên giá > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,140.579.011.356,276.413.594.392,164.964.058.635,3.429.000.000,-,585.385.664.383,140579011356.0,276413594392.0,164964058635.0,3429000000.0,,585385664383.0
Phân loại lại từ chi phí trả trước dài hạn,Nguyên giá > Phân loại lại từ chi phí trả trước dài hạn,Phân loại lại từ chi phí trả trước dài hạn,112.529.876.900,-,-,-,-,112.529.876.900,112529876900.0,,,,,112529876900.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,-,-,(32.498.901.455),-,(32.498.901.455),,,,-32498901455.0,,-32498901455.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(230.367.825),-,-,(2.024.500),(54.250.000),(286.642.325),-230367825.0,,,-2024500.0,-54250000.0,-286642325.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,683.056.767.164,276.413.594.392,164.964.058.635,123.060.162.544,50.170.400.000,1.297.664.982.735,683056767164.0,276413594392.0,164964058635.0,123060162544.0,50170400000.0,1297664982735.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,11.313.596.385,-,-,112.650.522.345,34.023.150.000,157.987.268.730,11313596385.0,,,112650522345.0,34023150000.0,157987268730.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.896.996.940,-,-,14.501.146.224,-,21.398.143.164,6896996940.0,,,14501146224.0,,21398143164.0
Tăng do hợp nhất kinh doanh,Giá trị hao mòn lũy kế > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,-,855.772.603,-,855.772.603,,,,855772603.0,,855772603.0
Phân loại lại từ chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Phân loại lại từ chi phí trả trước dài hạn,Phân loại lại từ chi phí trả trước dài hạn,331.039.633,-,-,-,-,331.039.633,331039633.0,,,,,331039633.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,-,-,(32.498.901.455),-,(32.498.901.455),,,,-32498901455.0,,-32498901455.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,(2.188.042),(36.750.000),(38.938.042),,,,-2188042.0,-36750000.0,-38938042.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,18.541.632.958,-,-,95.506.351.675,33.986.400.000,148.034.384.633,18541632958.0,,,95506351675.0,33986400000.0,148034384633.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,264.474.149.748,-,-,36.906.517.914,16.201.500.000,317.582.167.662,264474149748.0,,,36906517914.0,16201500000.0,317582167662.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,664.515.134.206,276.413.594.392,164.964.058.635,27.553.810.869,16.184.000.000,1.149.630.598.102,664515134206.0,276413594392.0,164964058635.0,27553810869.0,16184000000.0,1149630598102.0
