row_label_raw,row_label_full,(a) Phải thu khách hàng ngắn hạn,(a) Phải thu khách hàng ngắn hạn_1,(a) Phải thu khách hàng ngắn hạn_2,numeric__(a) Phải thu khách hàng ngắn hạn_1,numeric__(a) Phải thu khách hàng ngắn hạn_2
,,,31/12/2019 VND,1/1/2019 VND,,
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,3.474.498.518.959,3.380.017.354.930,3474498518959.0,3380017354930.0
(b) Phải thu khách hàng dài hạn,(b) Phải thu khách hàng dài hạn,(b) Phải thu khách hàng dài hạn,(b) Phải thu khách hàng dài hạn,(b) Phải thu khách hàng dài hạn,,
,,,31/12/2019 VND,1/1/2019 VND,,
SIG Combibloc Ltd,(b) Phải thu khách hàng dài hạn > SIG Combibloc Ltd,SIG Combibloc Ltd,-,67.658.410.631,,67658410631.0
