row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Cơ sở hạ tầng VND,Nhà cửa VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Cơ sở hạ tầng VND,numeric__Nhà cửa VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,39.821.793.375,6.464.218.561,101.034.438.687,147.320.450.623,39821793375.0,6464218561.0,101034438687.0,147320450623.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(5.994.290.197),(59.844.888.982),(65.839.179.179),,-5994290197.0,-59844888982.0,-65839179179.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,39.821.793.375,469.928.364,41.189.549.705,81.481.271.444,39821793375.0,469928364.0,41189549705.0,81481271444.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.610.911.366,5.798.297.944,46.663.040.554,57.072.249.864,4610911366.0,5798297944.0,46663040554.0,57072249864.0
Khâu hao trong năm,Giá trị hao mòn lũy kế > Khâu hao trong năm,Khâu hao trong năm,865.672.681,211.744.707,2.533.089.906,3.610.507.294,865672681.0,211744707.0,2533089906.0,3610507294.0
Chuyển sang tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(5.540.114.287),(35.679.488.163),(41.219.602.450),,-5540114287.0,-35679488163.0,-41219602450.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.476.584.047,469.928.364,13.516.642.297,19.463.154.708,5476584047.0,469928364.0,13516642297.0,19463154708.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,35.210.882.009,665.920.617,54.371.398.133,90.248.200.759,35210882009.0,665920617.0,54371398133.0,90248200759.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,34.345.209.328,-,27.672.907.408,62.018.116.736,34345209328.0,,27672907408.0,62018116736.0
