row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,
Tiền thu từ phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ phát hành cổ phiếu,Tiền thu từ phát hành cổ phiếu,31,,5.000.000.000.000,-,31.0,,5000000000000.0,
Chi phí phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính > Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,31,,(100.000.000),-,31.0,,-100000000.0,
Tiền thu từ đi vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ đi vay,Tiền thu từ đi vay,33,,71.312.935.035.068,61.181.118.746.857,33.0,,71312935035068.0,61181118746857.0
Tiền trả nợ gốc vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,,(44.516.423.275.615),(48.845.493.809.058),34.0,,-44516423275615.0,-48845493809058.0
Tiền chi trả gốc thuê tài chính,Lưu chuyển tiền từ hoạt động tài chính > Tiền chi trả gốc thuê tài chính,Tiền chi trả gốc thuê tài chính,35,,(325.840.107.536),(313.354.773.438),35.0,,-325840107536.0,-313354773438.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Lưu chuyển tiền từ hoạt động tài chính > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,-,(57.789.721.550),36.0,,,-57789721550.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,31.470.571.651.917,11.964.480.442.811,40.0,,31470571651917.0,11964480442811.0
Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,,6.281.915.493.399,(551.770.567.448),50.0,,6281915493399.0,-551770567448.0
Tiền và tương đương tiền đầu năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,4,4.511.916.689.423,5.021.589.880.532,60.0,4.0,4511916689423.0,5021589880532.0
Ảnh hưởng của thay đổi tỷ giá hối đoái,Lưu chuyển tiền từ hoạt động tài chính > Ảnh hưởng của thay đổi tỷ giá hối đoái,Ảnh hưởng của thay đổi tỷ giá hối đoái,61,,92.087.529.436,42.097.376.339,61.0,,92087529436.0,42097376339.0
Tiền và tương đương tiền cuối năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,4,10.885.919.712.258,4.511.916.689.423,70.0,4.0,10885919712258.0,4511916689423.0
