row_label_raw,row_label_full,col_0,Tàu bayVND,numeric__Tàu bayVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
01/01/2025,NGUYÊN GIÁ > 01/01/2025,01/01/2025,6.181.116.755.409,6181116755409.0
31/12/2025,NGUYÊN GIÁ > 31/12/2025,31/12/2025,6.181.116.755.409,6181116755409.0
GIÁ TRỊ KHÁU HAO LỦY KẾ,GIÁ TRỊ KHÁU HAO LỦY KẾ,GIÁ TRỊ KHÁU HAO LỦY KẾ,GIÁ TRỊ KHÁU HAO LỦY KẾ,
01/01/2025,GIÁ TRỊ KHÁU HAO LỦY KẾ > 01/01/2025,01/01/2025,(354.785.685.564),-354785685564.0
Khấu hao trong năm,GIÁ TRỊ KHÁU HAO LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,(309.055.837.770),-309055837770.0
31/12/2025,GIÁ TRỊ KHÁU HAO LỦY KẾ > 31/12/2025,31/12/2025,(663.841.523.334),-663841523334.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
01/01/2025,GIÁ TRỊ CÒN LẠI > 01/01/2025,01/01/2025,5.826.331.069.845,5826331069845.0
31/12/2025,GIÁ TRỊ CÒN LẠI > 31/12/2025,31/12/2025,5.517.275.232.075,5517275232075.0
