row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO),THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_2,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_3,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_4,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_2,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_3,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_4
8. PHẢI THU VỀ CHO VAY,8. PHẢI THU VỀ CHO VAY,8. PHẢI THU VỀ CHO VAY,8. PHẢI THU VỀ CHO VAY,8. PHẢI THU VỀ CHO VAY,8. PHẢI THU VỀ CHO VAY,8. PHẢI THU VỀ CHO VAY,,,,
Bên di vay,Bên di vay,Bên di vay,Nguyên tệ,Thời gianđáo hạn,31/12/2025VND,01/01/2025VND,,,,
Ngắn hạn,Bên di vay > Ngắn hạn,Ngắn hạn,,,1.654.167.453.293,1.633.712.453.293,,,1654167453293.0,1633712453293.0
Công ty Cổ Phần Menas Trường Sơn (*),Bên di vay > Công ty Cổ Phần Menas Trường Sơn (*),Công ty Cổ Phần Menas Trường Sơn (*),VND,2026,422.400.000.000,517.400.000.000,,2026.0,422400000000.0,517400000000.0
Công ty Cổ phần Trường Sơn Plaza (*),Bên di vay > Công ty Cổ phần Trường Sơn Plaza (*),Công ty Cổ phần Trường Sơn Plaza (*),VND,2026,338.710.531.793,338.710.531.793,,2026.0,338710531793.0,338710531793.0
Công ty Cổ phần Angelica Aviation Capital Việt Nam (*),Bên di vay > Công ty Cổ phần Angelica Aviation Capital Việt Nam (*),Công ty Cổ phần Angelica Aviation Capital Việt Nam (*),VND,2026,604.250.000.000,604.250.000.000,,2026.0,604250000000.0,604250000000.0
Khác,Bên di vay > Khác,Khác,VND,2026,288.806.921.500,173.351.921.500,,2026.0,288806921500.0,173351921500.0
Dài hạn,Bên di vay > Dài hạn,Dài hạn,,,-,50.000.000.000,,,,50000000000.0
Khác,Bên di vay > Khác,Khác,VND,,-,50.000.000.000,,,,50000000000.0
,,,,,1.654.167.453.293,1.683.712.453.293,,,1654167453293.0,1683712453293.0
