row_label_raw,row_label_full,col_0,01/01/2025VND,Số phải thu trong nămVND,Số đã khấu trừ trong nămVND,Số đã thực hoàn trong nămVND,Cán trừ trong nămVND,31/12/2025VND,numeric__01/01/2025VND,numeric__Số phải thu trong nămVND,numeric__Số đã khấu trừ trong nămVND,numeric__Số đã thực hoàn trong nămVND,numeric__Cán trừ trong nămVND,numeric__31/12/2025VND
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,-,1.720.298.411.800,(1.720.298.411.800),-,-,-,,1720298411800.0,-1720298411800.0,,,
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,-,1.720.298.411.800,(1.720.298.411.800),-,-,-,,1720298411800.0,-1720298411800.0,,,
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,34.697.883.730,90.411.314.909,(44.607.614.554),(69.270.895.865),-,11.230.688.220,34697883730.0,90411314909.0,-44607614554.0,-69270895865.0,,11230688220.0
Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,31.963.109.065,2.762.419.838,(31.963.109.065),-,-,2.762.419.838,31963109065.0,2762419838.0,-31963109065.0,,,2762419838.0
"Thuế hàng hóa, dịch vụ tại nước ngoài","Thuế hàng hóa, dịch vụ tại nước ngoài","Thuế hàng hóa, dịch vụ tại nước ngoài",2.734.774.665,87.648.895.071,(12.644.505.489),(69.270.895.865),-,8.468.268.382,2734774665.0,87648895071.0,-12644505489.0,-69270895865.0,,8468268382.0
,,,34.697.883.730,1.810.709.726.709,(1.764.906.026.354),(69.270.895.865),-,11.230.688.220,34697883730.0,1810709726709.0,-1764906026354.0,-69270895865.0,,11230688220.0
(b) Thuế và các khoản phải nộp Nhà Nước,(b) Thuế và các khoản phải nộp Nhà Nước,(b) Thuế và các khoản phải nộp Nhà Nước,(b) Thuế và các khoản phải nộp Nhà Nước,(b) Thuế và các khoản phải nộp Nhà Nước,(b) Thuế và các khoản phải nộp Nhà Nước,(b) Thuế và các khoản phải nộp Nhà Nước,(b) Thuế và các khoản phải nộp Nhà Nước,(b) Thuế và các khoản phải nộp Nhà Nước,,,,,,
,,,01/01/2025VND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,Số đã thực hoàn trong nămVND,Cán trừ trong nămVND,31/12/2025VND,,,,,,
Thuế TNDN,(b) Thuế và các khoản phải nộp Nhà Nước > Thuế TNDN,Thuế TNDN,169.141.000.000,27.438.104.355,(169.367.000.000),-,-,27.212.104.355,169141000000.0,27438104355.0,-169367000000.0,,,27212104355.0
Thuế GTGT phải nộp,(b) Thuế và các khoản phải nộp Nhà Nước > Thuế GTGT phải nộp,Thuế GTGT phải nộp,20.311.925.957,2.119.101.020.941,(416.421.834.191),-,(1.720.298.411.800),2.692.700.907,20311925957.0,2119101020941.0,-416421834191.0,,-1720298411800.0,2692700907.0
Thuế thu nhập cá nhân,(b) Thuế và các khoản phải nộp Nhà Nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,84.681.439.895,589.883.056.475,(603.125.884.205),(10.782.691.613),-,60.655.920.552,84681439895.0,589883056475.0,-603125884205.0,-10782691613.0,,60655920552.0
Thuế nhà thầu nước ngoài,(b) Thuế và các khoản phải nộp Nhà Nước > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,102.974.692.449,(64.084.900.639),-,(31.963.109.065),6.926.682.745,,102974692449.0,-64084900639.0,,-31963109065.0,6926682745.0
"Thuế hàng hóa, dịch vụ tại nước ngoài","(b) Thuế và các khoản phải nộp Nhà Nước > Thuế hàng hóa, dịch vụ tại nước ngoài","Thuế hàng hóa, dịch vụ tại nước ngoài",-,108.449.972.746,(95.805.467.257),-,(12.644.505.489),-,,108449972746.0,-95805467257.0,,-12644505489.0,
Các loại thuế khác,(b) Thuế và các khoản phải nộp Nhà Nước > Các loại thuế khác,Các loại thuế khác,-,307.858.940.452,(307.858.940.452),-,-,-,,307858940452.0,-307858940452.0,,,
,,,274.134.365.852,3.255.705.787.418,(1.656.664.026.744),(10.782.691.613),(1.764.906.026.354),97.487.408.559,274134365852.0,3255705787418.0,-1656664026744.0,-10782691613.0,-1764906026354.0,97487408559.0
