row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO),THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_2,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_3,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_4,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_5,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_6,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_7,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_2,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_3,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_4,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_5,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_6,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_7
11. CHI PHÍ TRẢ TRƯỚC (TIẾP THEO),11. CHI PHÍ TRẢ TRƯỚC (TIẾP THEO),11. CHI PHÍ TRẢ TRƯỚC (TIẾP THEO),11. CHI PHÍ TRẢ TRƯỚC (TIẾP THEO),11. CHI PHÍ TRẢ TRƯỚC (TIẾP THEO),11. CHI PHÍ TRẢ TRƯỚC (TIẾP THEO),11. CHI PHÍ TRẢ TRƯỚC (TIẾP THEO),11. CHI PHÍ TRẢ TRƯỚC (TIẾP THEO),11. CHI PHÍ TRẢ TRƯỚC (TIẾP THEO),11. CHI PHÍ TRẢ TRƯỚC (TIẾP THEO),,,,,,,
Chi tiết chi phí trả trước dài hạn,Chi tiết chi phí trả trước dài hạn,Chi tiết chi phí trả trước dài hạn,Chi tiết chi phí trả trước dài hạn,Chi tiết chi phí trả trước dài hạn,Chi tiết chi phí trả trước dài hạn,Chi tiết chi phí trả trước dài hạn,Chi tiết chi phí trả trước dài hạn,Chi tiết chi phí trả trước dài hạn,Chi tiết chi phí trả trước dài hạn,,,,,,,
,,,Chi phí bảo dưỡngtàu bay trả trướcVND,Chi phí hoàn trảtàu bay thuêVND,"Chi phí kiểm tra,sửa chữa lớnVND","Phụ tùng,công cụ và dụngVND",Chi phí thuêtàu bayVND,KhácVND,CộngVND,,,,,,,
01/01/2025,Chi tiết chi phí trả trước dài hạn > 01/01/2025,01/01/2025,5.432.923.096.287,588.561.926.309,509.725.215.229,883.306.047.428,2.142.304.159.611,227.872.336.285,9.784.692.781.149,5432923096287.0,588561926309.0,509725215229.0,883306047428.0,2142304159611.0,227872336285.0,9784692781149.0
- Tăngtrong năm,Chi tiết chi phí trả trước dài hạn > - Tăngtrong năm,- Tăngtrong năm,406.607.664.320,38.569.042.970,772.584.951.816,769.739.699.964,16.160.913.553,1.922.022.671.706,3.925.684.944.329,406607664320.0,38569042970.0,772584951816.0,769739699964.0,16160913553.0,1922022671706.0,3925684944329.0
- Phân bổtrong năm,Chi tiết chi phí trả trước dài hạn > - Phân bổtrong năm,- Phân bổtrong năm,(515.114.270.117),(119.704.839.320),(318.429.587.033),(225.317.064.588),-,(222.951.860.480),(1.401.517.621.538),-515114270117.0,-119704839320.0,-318429587033.0,-225317064588.0,,-222951860480.0,-1401517621538.0
31/12/2025,Chi tiết chi phí trả trước dài hạn > 31/12/2025,31/12/2025,5.324.416.490.490,507.426.129.959,963.880.580.012,1.427.728.682.804,2.158.465.073.164,1.926.943.147.511,12.308.860.103.940,5324416490490.0,507426129959.0,963880580012.0,1427728682804.0,2158465073164.0,1926943147511.0,12308860103940.0
