row_label_raw,row_label_full,THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO),THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_1,THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_2,THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_3,THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_4,THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_5,THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_6,THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_7,THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_8,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_1,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_2,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_3,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_4,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_5,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_6,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_7,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_8
1. ĐẶC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (TIẾP THEO),1. ĐẶC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (TIẾP THEO),1. ĐẶC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (TIẾP THEO),1. ĐẶC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (TIẾP THEO),1. ĐẶC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (TIẾP THEO),1. ĐẶC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (TIẾP THEO),1. ĐẶC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (TIẾP THEO),1. ĐẶC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (TIẾP THEO),1. ĐẶC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (TIẾP THEO),1. ĐẶC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (TIẾP THEO),1. ĐẶC ĐIỂM HOẠT ĐỘNG CỦA CÔNG TY (TIẾP THEO),,,,,,,,
1.5 Cấu TRỨC CÔNG TY (TIẾP THEO),1.5 Cấu TRỨC CÔNG TY (TIẾP THEO),1.5 Cấu TRỨC CÔNG TY (TIẾP THEO),1.5 Cấu TRỨC CÔNG TY (TIẾP THEO),1.5 Cấu TRỨC CÔNG TY (TIẾP THEO),1.5 Cấu TRỨC CÔNG TY (TIẾP THEO),1.5 Cấu TRỨC CÔNG TY (TIẾP THEO),1.5 Cấu TRỨC CÔNG TY (TIẾP THEO),1.5 Cấu TRỨC CÔNG TY (TIẾP THEO),1.5 Cấu TRỨC CÔNG TY (TIẾP THEO),1.5 Cấu TRỨC CÔNG TY (TIẾP THEO),,,,,,,,
STT,STT,STT,Tên Công ty,Hoạt động chính,Giấy chứng nhận Đăng ký Doanh nghiệp,"Nơi thành lập, đăng ký hoạt động",31/12/2025,31/12/2025,01/01/2025,01/01/2025,,,,,,,,
STT,STT,STT,Tên Công ty,Hoạt động chính,Giấy chứng nhận Đăng ký Doanh nghiệp,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),,,,,,,,
II. Công ty con sở hữu gián tiếp,II. Công ty con sở hữu gián tiếp,II. Công ty con sở hữu gián tiếp,II. Công ty con sở hữu gián tiếp,II. Công ty con sở hữu gián tiếp,II. Công ty con sở hữu gián tiếp,II. Công ty con sở hữu gián tiếp,II. Công ty con sở hữu gián tiếp,II. Công ty con sở hữu gián tiếp,II. Công ty con sở hữu gián tiếp,II. Công ty con sở hữu gián tiếp,,,,,,,,
1,II. Công ty con sở hữu gián tiếp > 1,1,Skymate Limited,Kinh doanh và cho thuê tàu bay,Số 327015 ngày 15 tháng 9 năm 2017,Cayman Islands,100,100,100,100,,,,,100.0,100.0,100.0,100.0
2,II. Công ty con sở hữu gián tiếp > 2,2,Công ty Cổ phần VietjetAir Cargo,Cung cấp dịch vụ vận chuyển hàng hóa và các dịch vụ hỗ trợ liên quan,Số 0312759089 ngày 13 tháng 6 năm 2024,Việt Nam,64,67,64,67,,,,,64.0,67.0,64.0,67.0
III. Công ty liên kết,III. Công ty liên kết,III. Công ty liên kết,III. Công ty liên kết,III. Công ty liên kết,III. Công ty liên kết,III. Công ty liên kết,III. Công ty liên kết,III. Công ty liên kết,III. Công ty liên kết,III. Công ty liên kết,,,,,,,,
1,III. Công ty liên kết > 1,1,"Thai Vietjet Air Joint Stock Co., Ltd (*)",Cung cấp dịch vụ vận chuyển hàng hóa và hành khách và các dịch vụ liên quan,Số 0105556100551 ngày 25 tháng 6 năm 2013,Thái Lan,9,9,9,9,,,,,9.0,9.0,9.0,9.0
2,III. Công ty liên kết > 2,2,Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (*),Cung cấp các dịch vụ hỗ trợ trực tiếp cho ngành vận chuyển hàng không,Số 4201676638 ngày 5 tháng 2 năm 2016,Việt Nam,10,10,10,10,,,,,10.0,10.0,10.0,10.0
