row_label_raw,row_label_full,31/12/2025 > Giá trị VND,31/12/2025 > Dự phòng VND,01/01/2025 > Giá trị VND,01/01/2025 > Dự phòng VND,numeric__31/12/2025 > Dự phòng VND,numeric__01/01/2025 > Giá trị VND,numeric__01/01/2025 > Dự phòng VND
10.413.890.623.144,10.413.890.623.144,10.413.890.623.144,-,9.491.063.744.315,-,,9491063744315.0,
1.015.522.424.368,1.015.522.424.368,1.015.522.424.368,-,1.308.359.047.795,-,,1308359047795.0,
410.118.220.715,410.118.220.715,410.118.220.715,-,600.000.000.000,-,,600000000000.0,
605.404.203.653,605.404.203.653,605.404.203.653,-,708.359.047.795,-,,708359047795.0,
11.429.413.047.512,11.429.413.047.512,11.429.413.047.512,-,10.799.422.792.110,-,,10799422792110.0,
31/12/2025,31/12/2025,31/12/2025,31/12/2025,01/01/2025,01/01/2025,,,
Giá trị VND,Giá trị VND,Giá trị VND,Dự phòng VND,Giá trị VND,Dự phòng VND,,,
200.799.480.752,Giá trị VND > 200.799.480.752,200.799.480.752,-,233.403.207.210,-,,233403207210.0,
1.672.630.222.177,Giá trị VND > 1.672.630.222.177,1.672.630.222.177,-,542.715.702.832,-,,542715702832.0,
1.672.630.222.177,Giá trị VND > 1.672.630.222.177,1.672.630.222.177,-,542.715.702.832,-,,542715702832.0,
1.873.429.702.929,Giá trị VND > 1.873.429.702.929,1.873.429.702.929,-,776.118.910.042,-,,776118910042.0,
