row_label_raw,row_label_full,col_0,Tàu bay và động cơ tàu bay VND,"Nhà cửa, vật kiến trúc VND","Máy móc, thiết bị VND","Phương tiện vận tải, truyền dẫn VND","Thiết bị, dụng cụ quản lý VND",Cộng VND,numeric__Tàu bay và động cơ tàu bay VND,"numeric__Nhà cửa, vật kiến trúc VND","numeric__Máy móc, thiết bị VND","numeric__Phương tiện vận tải, truyền dẫn VND","numeric__Thiết bị, dụng cụ quản lý VND",numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
01/01/2025,NGUYÊN GIÁ > 01/01/2025,01/01/2025,8.138.012.067.383,413.681.874.199,158.521.812.712,339.817.054.223,69.337.316.906,9.119.370.125.423,8138012067383.0,413681874199.0,158521812712.0,339817054223.0,69337316906.0,9119370125423.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,16.678.733.466.026,1.622.000.000,20.573.908.449,85.102.689.212,4.228.662.891,16.790.260.726.578,16678733466026.0,1622000000.0,20573908449.0,85102689212.0,4228662891.0,16790260726578.0
Thanh lý trong năm,NGUYÊN GIÁ > Thanh lý trong năm,Thanh lý trong năm,(630.549.373.525),(411.392.636.989),(22.919.553.075),-,(33.724.621.692),(1.098.586.185.281),-630549373525.0,-411392636989.0,-22919553075.0,,-33724621692.0,-1098586185281.0
31/12/2025,NGUYÊN GIÁ > 31/12/2025,31/12/2025,24.186.196.159.884,3.911.237.210,156.176.168.086,424.919.743.435,39.841.358.105,24.811.044.666.720,24186196159884.0,3911237210.0,156176168086.0,424919743435.0,39841358105.0,24811044666720.0
GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,,,,,,
01/01/2025,GIÁ TRỊ KHẢU HAO LỦY KẾ > 01/01/2025,01/01/2025,(610.727.890.424),(43.705.031.478),(82.325.603.913),(56.610.006.097),(42.466.495.602),(835.835.027.514),-610727890424.0,-43705031478.0,-82325603913.0,-56610006097.0,-42466495602.0,-835835027514.0
Khấu hao trong năm,GIÁ TRỊ KHẢU HAO LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,(617.155.615.080),(8.402.000.746),(19.717.900.120),(40.905.524.152),(7.009.027.651),(693.190.067.749),-617155615080.0,-8402000746.0,-19717900120.0,-40905524152.0,-7009027651.0,-693190067749.0
Thanh lý trong năm,GIÁ TRỊ KHẢU HAO LỦY KẾ > Thanh lý trong năm,Thanh lý trong năm,18.596.713.988,51.563.972.152,4.232.161.368,-,21.586.651.935,95.979.499.443,18596713988.0,51563972152.0,4232161368.0,,21586651935.0,95979499443.0
31/12/2025,GIÁ TRỊ KHẢU HAO LỦY KẾ > 31/12/2025,31/12/2025,(1.209.286.791.516),(543.060.072),(97.811.342.665),(97.515.530.249),(27.888.871.318),(1.433.045.595.820),-1209286791516.0,-543060072.0,-97811342665.0,-97515530249.0,-27888871318.0,-1433045595820.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,,,
01/01/2025,GIÁ TRỊ CÔN LẠI > 01/01/2025,01/01/2025,7.527.284.176.959,369.976.842.721,76.196.208.799,283.207.048.126,26.870.821.304,8.283.535.097.909,7527284176959.0,369976842721.0,76196208799.0,283207048126.0,26870821304.0,8283535097909.0
31/12/2025,GIÁ TRỊ CÔN LẠI > 31/12/2025,31/12/2025,22.976.909.368.368,3.368.177.138,58.364.825.421,327.404.213.186,11.952.486.787,23.377.999.070.900,22976909368368.0,3368177138.0,58364825421.0,327404213186.0,11952486787.0,23377999070900.0
