row_label_raw,row_label_full,TÀI SẢN (TIẾP THEO),Mã số,Thuyết minh,31/12/2025 VND,01/01/2025 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 VND,numeric__01/01/2025 VND
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,80.052.324.378.573,49.644.425.376.889,200.0,,80052324378573.0,49644425376889.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,18.984.679.091.727,24.043.176.835.237,210.0,,18984679091727.0,24043176835237.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,8,-,50.000.000.000,215.0,8.0,,50000000000.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,9,18.984.679.091.727,23.993.176.835.237,216.0,9.0,18984679091727.0,23993176835237.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,34.178.585.937.080,14.122.357.801.905,220.0,,34178585937080.0,14122357801905.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,12,23.377.999.070.900,8.283.535.097.909,221.0,12.0,23377999070900.0,8283535097909.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,24.811.044.666.720,9.119.370.125.423,222.0,,24811044666720.0,9119370125423.0
- Giá trị khấu hao lũy kế,- Giá trị khấu hao lũy kế,- Giá trị khấu hao lũy kế,223,,(1.433.045.595.820),(835.835.027.514),223.0,,-1433045595820.0,-835835027514.0
Tài sản cố định thuê tài chính,Tài sản cố định thuê tài chính,Tài sản cố định thuê tài chính,224,13,5.517.275.232.075,5.826.331.069.845,224.0,13.0,5517275232075.0,5826331069845.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,225,,6.181.116.755.409,6.181.116.755.409,225.0,,6181116755409.0,6181116755409.0
- Giá trị khấu hao lũy kế,- Giá trị khấu hao lũy kế,- Giá trị khấu hao lũy kế,226,,(663.841.523.334),(354.785.685.564),226.0,,-663841523334.0,-354785685564.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,14,5.283.311.634.105,12.491.634.151,227.0,14.0,5283311634105.0,12491634151.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,5.380.828.220.152,48.711.908.433,228.0,,5380828220152.0,48711908433.0
- Giá trị hao món lũy kế,- Giá trị hao món lũy kế,- Giá trị hao món lũy kế,229,,(97.516.586.047),(36.220.274.282),229.0,,-97516586047.0,-36220274282.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,15,13.864.282.221.426,1.463.280.934.198,240.0,15.0,13864282221426.0,1463280934198.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,,13.864.282.221.426,1.463.280.934.198,242.0,,13864282221426.0,1463280934198.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,5(b),715.917.024.400,230.917.024.400,250.0,,715917024400.0,230917024400.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,,566.500.000.000,81.500.000.000,251.0,,566500000000.0,81500000000.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",252,,60.000.000.000,60.000.000.000,252.0,,60000000000.0,60000000000.0
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,253,,149.417.024.400,149.417.024.400,253.0,,149417024400.0,149417024400.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,,(60.000.000.000),(60.000.000.000),254.0,,-60000000000.0,-60000000000.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,12.308.860.103.940,9.784.692.781.149,260.0,,12308860103940.0,9784692781149.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,11,12.308.860.103.940,9.784.692.781.149,261.0,11.0,12308860103940.0,9784692781149.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,270,,127.684.178.832.140,87.923.308.471.050,270.0,,127684178832140.0,87923308471050.0
